"algorithm","localsearch","alpha","beta","rho","ants","q0","rasrank","elitistants","nnls","dlb","Elite"
1,1,1.39,7.26,0.37,13,NA,NA,NA,NA,NA,FALSE
2,2,3.89,2.26,0.86,61,NA,55,NA,22,1,FALSE
3,3,0.14,9.76,0.62,85,0.73,NA,NA,10,1,FALSE
4,4,2.64,4.76,0.12,37,NA,NA,173,33,2,FALSE
1,2,0.77,6.01,0.49,49,NA,NA,NA,16,1,FALSE
4,1,3.27,1.01,0.99,97,NA,NA,267,NA,NA,FALSE
3,4,2.02,8.51,0.74,73,0.1,NA,NA,50,2,FALSE
5,3,4.52,3.51,0.25,25,NA,NA,NA,27,1,FALSE
2,3,1.7,4.14,0.43,67,NA,86,NA,48,1,FALSE
1,4,4.2,9.14,0.93,19,NA,NA,NA,25,2,FALSE
3,2,2.95,6.64,0.18,91,0.42,NA,NA,36,1,FALSE
5,1,0.45,1.64,0.68,43,NA,NA,NA,NA,NA,FALSE
4,4,1.08,2.89,0.31,79,NA,NA,33,7,2,FALSE
1,3,3.58,7.89,0.8,31,NA,NA,NA,30,1,FALSE
2,1,4.83,5.39,0.06,55,NA,24,NA,NA,NA,FALSE
5,2,2.33,0.39,0.55,7,NA,NA,NA,42,1,FALSE
3,4,4.67,0.08,0.4,16,0.88,NA,NA,29,1,TRUE
4,3,2.17,5.08,0.89,64,NA,NA,56,6,2,FALSE
5,2,3.42,2.58,0.65,88,NA,NA,NA,17,2,FALSE
2,1,0.92,7.58,0.15,40,NA,2,NA,NA,NA,FALSE
1,1,4.05,3.83,0.52,76,NA,NA,NA,NA,NA,FALSE
4,2,1.55,8.83,0.03,28,NA,NA,338,12,2,FALSE
5,4,0.3,6.33,0.77,100,NA,NA,NA,46,1,FALSE
3,3,2.8,1.33,0.28,52,0.26,NA,NA,23,2,FALSE
4,2,4.98,8.2,0.34,70,NA,NA,197,38,2,FALSE
3,1,2.48,3.2,0.83,22,0.2,NA,NA,NA,NA,FALSE
2,4,3.73,5.7,0.59,46,NA,33,NA,26,1,TRUE
1,3,1.23,0.7,0.09,94,NA,NA,NA,49,2,FALSE
1,4,1.86,1.95,0.21,58,NA,NA,NA,9,1,FALSE
4,3,4.36,6.95,0.71,10,NA,NA,103,32,2,FALSE
5,1,3.11,9.45,0.46,82,NA,NA,NA,NA,NA,FALSE
2,2,0.61,4.45,0.96,34,NA,71,NA,43,2,FALSE
4,4,4.91,4.29,0.14,84,NA,NA,420,12,2,FALSE
1,3,2.41,9.29,0.63,36,NA,NA,NA,35,1,FALSE
5,2,3.66,1.79,0.88,12,NA,NA,NA,47,1,FALSE
3,1,1.16,6.79,0.38,60,0.56,NA,NA,NA,NA,FALSE
5,4,0.53,8.04,0.51,24,NA,NA,NA,18,2,FALSE
2,3,3.03,3.04,0.01,72,NA,69,NA,41,1,FALSE
3,2,1.78,5.54,0.26,96,0.18,NA,NA,30,1,FALSE
4,1,4.28,0.54,0.76,48,NA,NA,701,NA,NA,FALSE
2,2,0.22,1.17,0.69,54,NA,100,NA,27,1,FALSE
1,1,2.72,6.17,0.2,6,NA,NA,NA,NA,NA,FALSE
3,3,3.97,8.67,0.94,78,0.99,NA,NA,15,1,FALSE
5,4,1.47,3.67,0.45,30,NA,NA,NA,38,2,FALSE
5,3,0.84,4.92,0.32,18,NA,NA,NA,21,1,FALSE
2,4,3.34,9.92,0.82,66,NA,13,NA,44,2,FALSE
4,1,2.09,2.42,0.57,90,NA,NA,654,NA,NA,FALSE
1,2,4.59,7.42,0.08,42,NA,NA,NA,10,1,FALSE
