Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	5147325.33	3001071	REGULAR	REGULAR	START	START	1	5147325.33	3001071	REGULAR	REGULAR	START	START	1
1	FALSE	3077847.47	1051021	REGULAR	REGULAR	START	START	1	3077847.47	1051021	REGULAR	REGULAR	START	START	1
1	FALSE	4433026.30	0021051	REGULAR	REGULAR	END	START	1	4433026.30	0021051	REGULAR	REGULAR	END	START	1
1	FALSE	3508986.93	2071001	REGULAR	REGULAR	START	START	1	3508986.93	2071001	REGULAR	REGULAR	START	START	1
1	FALSE	3895818.90	1011011	REGULAR	REGULAR	START	START	1	3895818.90	1011011	REGULAR	REGULAR	START	START	1
1	FALSE	4507621.14	3061061	REGULAR	REGULAR	START	START	1	4507621.14	3061061	REGULAR	REGULAR	START	START	1
1	FALSE	3837015.24	2031041	REGULAR	REGULAR	START	START	1	3837015.24	2031041	REGULAR	REGULAR	START	START	1
1	FALSE	3377001.07	0081091	REGULAR	REGULAR	START	START	1	3377001.07	0081091	REGULAR	REGULAR	START	START	1
1	FALSE	4294620.13	3031021	ELITE	ELITE	END	START	1	4294620.13	3031021	ELITE	ELITE	END	START	1
1	FALSE	3371400.00	1081071	REGULAR	REGULAR	START	START	1	3371400.00	1081071	REGULAR	REGULAR	START	START	1
1	FALSE	4021610.40	0001041	REGULAR	REGULAR	START	START	1	4021610.40	0001041	REGULAR	REGULAR	START	START	1
1	FALSE	4605702.50	2051091	REGULAR	REGULAR	START	START	1	4605702.50	2051091	REGULAR	REGULAR	START	START	1
1	FALSE	4028648.67	2011051	REGULAR	REGULAR	START	START	1	4028648.67	2011051	REGULAR	REGULAR	START	START	1
1	FALSE	4036880.07	0061001	REGULAR	REGULAR	START	START	1	4036880.07	0061001	REGULAR	REGULAR	START	START	1
1	FALSE	3328545.33	3091031	REGULAR	REGULAR	START	START	1	3328545.33	3091031	REGULAR	REGULAR	START	START	1
1	FALSE	4001464.55	1041081	REGULAR	REGULAR	START	START	1	4001464.55	1041081	REGULAR	REGULAR	START	START	1
1	FALSE	2415403.47	3081081	REGULAR	REGULAR	START	START	1	2415403.47	3081081	REGULAR	REGULAR	START	START	1
1	FALSE	3142876.69	1031031	REGULAR	REGULAR	START	START	1	3142876.69	1031031	REGULAR	REGULAR	START	START	1
