Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	4628252.96	3001071	REGULAR	REGULAR	START	START	1	4628252.96	3001071	REGULAR	REGULAR	START	START	1
1	FALSE	3304301.26	1051021	REGULAR	REGULAR	START	START	1	3304301.26	1051021	REGULAR	REGULAR	START	START	1
1	FALSE	4254670.31	0021051	REGULAR	REGULAR	END	START	1	4254670.31	0021051	REGULAR	REGULAR	END	START	1
1	FALSE	3508986.93	2071001	REGULAR	REGULAR	START	START	1	3508986.93	2071001	REGULAR	REGULAR	START	START	1
1	FALSE	3445493.86	1011011	REGULAR	REGULAR	START	START	1	3445493.86	1011011	REGULAR	REGULAR	START	START	1
1	FALSE	4507621.14	3061061	REGULAR	REGULAR	START	START	1	4507621.14	3061061	REGULAR	REGULAR	START	START	1
1	FALSE	3763871.29	2031041	REGULAR	REGULAR	START	START	1	3763871.29	2031041	REGULAR	REGULAR	START	START	1
1	FALSE	3377001.07	0081091	REGULAR	REGULAR	START	START	1	3377001.07	0081091	REGULAR	REGULAR	START	START	1
1	FALSE	4374632.54	3031021	ELITE	ELITE	END	START	1	4374632.54	3031021	ELITE	ELITE	END	START	1
1	FALSE	3371400.00	1081071	REGULAR	REGULAR	START	START	1	3371400.00	1081071	REGULAR	REGULAR	START	START	1
1	FALSE	3809515.18	0001041	REGULAR	REGULAR	START	START	1	3809515.18	0001041	REGULAR	REGULAR	START	START	1
1	FALSE	4231855.06	2051091	REGULAR	REGULAR	START	START	1	4231855.06	2051091	REGULAR	REGULAR	START	START	1
1	FALSE	3930475.83	2011051	REGULAR	REGULAR	START	START	1	3930475.83	2011051	REGULAR	REGULAR	START	START	1
1	FALSE	3519394.51	0061001	REGULAR	REGULAR	START	START	1	3519394.51	0061001	REGULAR	REGULAR	START	START	1
1	FALSE	3333118.70	3091031	REGULAR	REGULAR	START	START	1	3333118.70	3091031	REGULAR	REGULAR	START	START	1
1	FALSE	4299373.75	1041081	REGULAR	REGULAR	START	START	1	4299373.75	1041081	REGULAR	REGULAR	START	START	1
1	FALSE	2415403.47	3081081	REGULAR	REGULAR	START	START	1	2415403.47	3081081	REGULAR	REGULAR	START	START	1
1	FALSE	2576694.89	1031031	REGULAR	REGULAR	START	START	1	2576694.89	1031031	REGULAR	REGULAR	START	START	1
1	FALSE	3081522.22	0061061	REGULAR	REGULAR	START	START	1	3081522.22	0061061	REGULAR	REGULAR	START	START	1
1	FALSE	3249815.14	2011011	REGULAR	REGULAR	START	START	1	3249815.14	2011011	REGULAR	REGULAR	START	START	1
1	FALSE	2656121.80	1091021	REGULAR	REGULAR	START	START	1	2656121.80	1091021	REGULAR	REGULAR	START	START	1
1	FALSE	4355317.50	3041071	ELITE	ELITE	START	START	1	4355317.50	3041071	ELITE	ELITE	START	START	1
1	FALSE	3333092.80	2071041	REGULAR	REGULAR	START	START	1	3333092.80	2071041	REGULAR	REGULAR	START	START	1
1	FALSE	3298336.00	0021091	REGULAR	REGULAR	START	START	1	3298336.00	0021091	REGULAR	REGULAR	START	START	1
1	FALSE	4143269.14	1061081	REGULAR	REGULAR	START	START	1	4143269.14	1061081	REGULAR	REGULAR	START	START	1
1	FALSE	4116723.73	3011031	ELITE	ELITE	END	START	1	4116723.73	3011031	ELITE	ELITE	END	START	1
1	FALSE	4489072.88	0041001	REGULAR	REGULAR	START	START	1	4489072.88	0041001	REGULAR	REGULAR	START	START	1
1	FALSE	3387845.00	2091051	REGULAR	REGULAR	START	START	1	3387845.00	2091051	REGULAR	REGULAR	START	START	1
1	FALSE	3989339.86	3051011	ELITE	REGULAR	END	START	1	3989339.86	3051011	ELITE	REGULAR	END	START	1
1	FALSE	3334952.40	1001061	REGULAR	REGULAR	START	START	1	3334952.40	1001061	REGULAR	REGULAR	START	START	1
1	FALSE	3242135.47	2021091	REGULAR	REGULAR	START	START	1	3242135.47	2021091	REGULAR	REGULAR	START	START	1
1	FALSE	3247122.40	0071041	REGULAR	REGULAR	START	START	1	3247122.40	0071041	REGULAR	REGULAR	START	START	1
1	FALSE	4070940.60	3081001	ELITE	REGULAR	END	START	1	4070940.60	3081001	ELITE	REGULAR	END	START	1
1	FALSE	4423047.88	1031051	REGULAR	REGULAR	START	START	1	4423047.88	1031051	REGULAR	REGULAR	START	START	1
1	FALSE	3303985.07	0061031	REGULAR	REGULAR	START	START	1	3303985.07	0061031	REGULAR	REGULAR	START	START	1
