Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	3799823.20	0011001	REGULAR	REGULAR	START	START	1	3799823.20	0011001	REGULAR	REGULAR	START	START	1
1	FALSE	4526267.71	2061051	REGULAR	REGULAR	START	START	1	4526267.71	2061051	REGULAR	REGULAR	START	START	1
1	FALSE	3402768.00	1086076	REGULAR	REGULAR	START	START	1	3402768.00	1086076	REGULAR	REGULAR	START	START	1
1	FALSE	3809653.71	3036026	REGULAR	REGULAR	START	START	1	3809653.71	3036026	REGULAR	REGULAR	START	START	1
1	FALSE	3346245.20	2001086	REGULAR	REGULAR	START	START	1	3346245.20	2001086	REGULAR	REGULAR	START	START	1
1	FALSE	4540857.14	0051036	REGULAR	REGULAR	START	START	1	4540857.14	0051036	REGULAR	REGULAR	START	START	1
1	FALSE	3368038.68	3076011	REGULAR	REGULAR	START	START	1	3368038.68	3076011	REGULAR	REGULAR	START	START	1
1	FALSE	3331155.60	1026061	REGULAR	REGULAR	START	START	1	3331155.60	1026061	REGULAR	REGULAR	START	START	1
1	FALSE	4023005.00	1006031	REGULAR	REGULAR	START	START	1	4023005.00	1006031	REGULAR	REGULAR	START	START	1
1	FALSE	2566002.92	3056081	ELITE	REGULAR	END	START	1	2566002.92	3056081	ELITE	REGULAR	END	START	1
1	FALSE	4228334.41	2031006	REGULAR	REGULAR	START	START	1	4228334.41	2031006	REGULAR	REGULAR	START	START	1
1	FALSE	3363034.00	0081056	REGULAR	REGULAR	START	START	1	3363034.00	0081056	REGULAR	REGULAR	START	START	1
1	FALSE	3229199.13	1066021	REGULAR	REGULAR	START	START	1	3229199.13	1066021	REGULAR	REGULAR	START	START	1
1	FALSE	4525603.58	3016071	REGULAR	REGULAR	START	START	1	4525603.58	3016071	REGULAR	REGULAR	START	START	1
1	FALSE	4086687.60	2091046	REGULAR	REGULAR	START	START	1	4086687.60	2091046	REGULAR	REGULAR	START	START	1
1	FALSE	3326380.67	0041096	REGULAR	REGULAR	START	START	1	3326380.67	0041096	REGULAR	REGULAR	START	START	1
1	FALSE	2865023.33	0066091	REGULAR	REGULAR	START	START	1	2865023.33	0066091	REGULAR	REGULAR	START	START	1
1	FALSE	3503644.48	2016041	REGULAR	REGULAR	START	START	1	3503644.48	2016041	REGULAR	REGULAR	START	START	1
1	FALSE	2833205.87	1041016	REGULAR	REGULAR	START	START	1	2833205.87	1041016	REGULAR	REGULAR	START	START	1
1	FALSE	2847642.67	3091066	REGULAR	REGULAR	START	START	1	2847642.67	3091066	REGULAR	REGULAR	START	START	1
1	FALSE	3975106.85	3026076	ELITE	REGULAR	START	START	1	3975106.85	3026076	ELITE	REGULAR	START	START	1
1	FALSE	4540157.14	1076026	REGULAR	REGULAR	START	START	1	4540157.14	1076026	REGULAR	REGULAR	START	START	1
1	FALSE	3333676.00	0001051	REGULAR	REGULAR	START	START	1	3333676.00	0001051	REGULAR	REGULAR	START	START	1
1	FALSE	3068018.80	2051001	REGULAR	REGULAR	START	START	1	3068018.80	2051001	REGULAR	REGULAR	START	START	1
1	FALSE	2405802.27	1056071	REGULAR	REGULAR	START	START	1	2405802.27	1056071	REGULAR	REGULAR	START	START	1
1	FALSE	4357296.68	3011021	ELITE	REGULAR	END	START	1	4357296.68	3011021	ELITE	REGULAR	END	START	1
1	FALSE	4026622.60	0031046	REGULAR	REGULAR	START	START	1	4026622.60	0031046	REGULAR	REGULAR	START	START	1
1	FALSE	3395054.40	2086096	REGULAR	REGULAR	START	START	1	3395054.40	2086096	REGULAR	REGULAR	START	START	1
