Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	3346836.80	0013001	REGULAR	REGULAR	START	START	1	3346836.80	0013001	REGULAR	REGULAR	START	START	1
1	FALSE	4526267.71	2063051	REGULAR	REGULAR	START	START	1	4526267.71	2063051	REGULAR	REGULAR	START	START	1
1	FALSE	3402768.00	1089077	REGULAR	REGULAR	START	START	1	3402768.00	1089077	REGULAR	REGULAR	START	START	1
1	FALSE	4502686.57	3039027	REGULAR	REGULAR	START	START	1	4502686.57	3039027	REGULAR	REGULAR	START	START	1
1	FALSE	3346245.20	2001089	REGULAR	REGULAR	START	START	1	3346245.20	2001089	REGULAR	REGULAR	START	START	1
1	FALSE	4540857.14	0051039	REGULAR	REGULAR	START	START	1	4540857.14	0051039	REGULAR	REGULAR	START	START	1
1	FALSE	4507812.57	3075015	REGULAR	REGULAR	START	START	1	4507812.57	3075015	REGULAR	REGULAR	START	START	1
1	FALSE	3331155.60	1027065	REGULAR	REGULAR	START	START	1	3331155.60	1027065	REGULAR	REGULAR	START	START	1
1	FALSE	4521228.86	1006033	REGULAR	REGULAR	START	START	1	4521228.86	1006033	REGULAR	REGULAR	START	START	1
1	FALSE	4507132.29	3057083	REGULAR	REGULAR	START	START	1	4507132.29	3057083	REGULAR	REGULAR	START	START	1
1	FALSE	4025072.14	2033009	REGULAR	REGULAR	START	START	1	4025072.14	2033009	REGULAR	REGULAR	START	START	1
1	FALSE	3363680.40	0083059	REGULAR	REGULAR	START	START	1	3363680.40	0083059	REGULAR	REGULAR	START	START	1
1	FALSE	3335299.60	1069021	REGULAR	REGULAR	START	START	1	3335299.60	1069021	REGULAR	REGULAR	START	START	1
1	FALSE	4506644.86	3019071	REGULAR	REGULAR	START	START	1	4506644.86	3019071	REGULAR	REGULAR	START	START	1
1	FALSE	3396023.20	2093045	REGULAR	REGULAR	START	START	1	3396023.20	2093045	REGULAR	REGULAR	START	START	1
1	FALSE	3350866.40	0045095	REGULAR	REGULAR	START	START	1	3350866.40	0045095	REGULAR	REGULAR	START	START	1
1	FALSE	3367983.60	0067093	REGULAR	REGULAR	START	START	1	3367983.60	0067093	REGULAR	REGULAR	START	START	1
1	FALSE	3341472.40	2017043	REGULAR	REGULAR	START	START	1	3341472.40	2017043	REGULAR	REGULAR	START	START	1
1	FALSE	3335726.40	1041017	REGULAR	REGULAR	START	START	1	3335726.40	1041017	REGULAR	REGULAR	START	START	1
1	FALSE	3343286.00	3091067	REGULAR	REGULAR	START	START	1	3343286.00	3091067	REGULAR	REGULAR	START	START	1
1	FALSE	4506120.00	3029079	REGULAR	REGULAR	START	START	1	4506120.00	3029079	REGULAR	REGULAR	START	START	1
1	FALSE	4540157.14	1079029	REGULAR	REGULAR	START	START	1	4540157.14	1079029	REGULAR	REGULAR	START	START	1
1	FALSE	3345904.80	0005055	REGULAR	REGULAR	START	START	1	3345904.80	0005055	REGULAR	REGULAR	START	START	1
1	FALSE	3330772.40	2055005	REGULAR	REGULAR	START	START	1	3330772.40	2055005	REGULAR	REGULAR	START	START	1
1	FALSE	3335976.40	1061073	REGULAR	REGULAR	START	START	1	3335976.40	1061073	REGULAR	REGULAR	START	START	1
1	FALSE	4093596.52	3011023	REGULAR	REGULAR	START	START	1	4093596.52	3011023	REGULAR	REGULAR	START	START	1
1	FALSE	3336802.40	0035049	REGULAR	REGULAR	START	START	1	3336802.40	0035049	REGULAR	REGULAR	START	START	1
1	FALSE	3385932.40	2085099	REGULAR	REGULAR	START	START	1	3385932.40	2085099	REGULAR	REGULAR	START	START	1
1	FALSE	3334149.60	2049061	REGULAR	REGULAR	START	START	1	3334149.60	2049061	REGULAR	REGULAR	START	START	1
1	FALSE	3413613.20	0097011	REGULAR	REGULAR	START	START	1	3413613.20	0097011	REGULAR	REGULAR	START	START	1
1	FALSE	4539564.29	1023087	REGULAR	REGULAR	START	START	1	4539564.29	1023087	REGULAR	REGULAR	START	START	1
1	FALSE	4509074.57	3073037	REGULAR	REGULAR	START	START	1	4509074.57	3073037	REGULAR	REGULAR	START	START	1
1	FALSE	4504626.57	3015093	REGULAR	REGULAR	START	START	1	4504626.57	3015093	REGULAR	REGULAR	START	START	1
1	FALSE	3330351.60	1065043	REGULAR	REGULAR	START	START	1	3330351.60	1065043	REGULAR	REGULAR	START	START	1
1	FALSE	3332379.20	0039069	REGULAR	REGULAR	START	START	1	3332379.20	0039069	REGULAR	REGULAR	START	START	1
1	FALSE	4529903.43	2089019	REGULAR	REGULAR	START	START	1	4529903.43	2089019	REGULAR	REGULAR	START	START	1
1	FALSE	3362117.20	0077081	REGULAR	REGULAR	START	START	1	3362117.20	0077081	REGULAR	REGULAR	START	START	1
1	FALSE	2650779.75	2027031	REGULAR	REGULAR	START	START	1	2650779.75	2027031	REGULAR	REGULAR	START	START	1
1	FALSE	4525777.43	1003007	REGULAR	REGULAR	START	START	1	4525777.43	1003007	REGULAR	REGULAR	START	START	1
1	FALSE	5138916.00	3053057	ELITE	ELITE	START	START	1	5138916.00	3053057	ELITE	ELITE	START	START	1
1	FALSE	4509830.00	3083037	REGULAR	REGULAR	START	START	1	4509830.00	3083037	REGULAR	REGULAR	START	START	1
1	FALSE	3342736.80	1033087	REGULAR	REGULAR	START	START	1	3342736.80	1033087	REGULAR	REGULAR	START	START	1
1	FALSE	5018067.88	0057013	REGULAR	REGULAR	START	START	1	5018067.88	0057013	REGULAR	REGULAR	START	START	1
1	FALSE	3329200.80	2009063	REGULAR	REGULAR	START	START	1	3329200.80	2009063	REGULAR	REGULAR	START	START	1
1	FALSE	4524392.00	0021025	REGULAR	REGULAR	START	START	1	4524392.00	0021025	REGULAR	REGULAR	START	START	1
1	FALSE	3344593.60	2071075	REGULAR	REGULAR	START	START	1	3344593.60	2071075	REGULAR	REGULAR	START	START	1
1	FALSE	3394873.20	1097051	REGULAR	REGULAR	START	START	1	3394873.20	1097051	REGULAR	REGULAR	START	START	1
1	FALSE	4937679.43	3045001	ELITE	ELITE	START	START	1	4937679.43	3045001	ELITE	ELITE	START	START	1
1	FALSE	4529161.43	2063029	REGULAR	REGULAR	START	START	1	4529161.43	2063029	REGULAR	REGULAR	START	START	1
1	FALSE	3340954.40	0013079	REGULAR	REGULAR	START	START	1	3340954.40	0013079	REGULAR	REGULAR	START	START	1
1	FALSE	4508443.43	3037053	REGULAR	REGULAR	START	START	1	4508443.43	3037053	REGULAR	REGULAR	START	START	1
1	FALSE	3337024.00	1087003	REGULAR	REGULAR	START	START	1	3337024.00	1087003	REGULAR	REGULAR	START	START	1
1	FALSE	3268516.40	2025015	REGULAR	REGULAR	START	START	1	3268516.40	2025015	REGULAR	REGULAR	START	START	1
1	FALSE	3337037.20	0075065	REGULAR	REGULAR	START	START	1	3337037.20	0075065	REGULAR	REGULAR	START	START	1
1	FALSE	3346474.00	3099091	REGULAR	REGULAR	START	START	1	3346474.00	3099091	REGULAR	REGULAR	START	START	1
1	FALSE	3328907.60	1049041	REGULAR	REGULAR	START	START	1	3328907.60	1049041	REGULAR	REGULAR	START	START	1
1	FALSE	4507843.71	3006047	REGULAR	REGULAR	START	START	1	4507843.71	3006047	REGULAR	REGULAR	START	START	1
1	FALSE	3337540.00	1055097	REGULAR	REGULAR	START	START	1	3337540.00	1055097	REGULAR	REGULAR	START	START	1
1	FALSE	3342173.60	2081073	REGULAR	REGULAR	START	START	1	3342173.60	2081073	REGULAR	REGULAR	START	START	1
1	FALSE	4534784.57	0031023	REGULAR	REGULAR	START	START	1	4534784.57	0031023	REGULAR	REGULAR	START	START	1
1	FALSE	3333040.80	2043085	REGULAR	REGULAR	START	START	1	3333040.80	2043085	REGULAR	REGULAR	START	START	1
1	FALSE	3377858.00	0093035	REGULAR	REGULAR	START	START	1	3377858.00	0093035	REGULAR	REGULAR	START	START	1
1	FALSE	3324056.80	1019059	REGULAR	REGULAR	START	START	1	3324056.80	1019059	REGULAR	REGULAR	START	START	1
1	FALSE	4014491.95	3067009	ELITE	REGULAR	END	START	1	4014491.95	3067009	ELITE	REGULAR	END	START	1
1	FALSE	4523104.57	1055033	REGULAR	REGULAR	START	START	1	4523104.57	1055033	REGULAR	REGULAR	START	START	1
1	FALSE	4505712.86	3006083	REGULAR	REGULAR	START	START	1	4505712.86	3006083	REGULAR	REGULAR	START	START	1
1	FALSE	3333096.80	0031057	REGULAR	REGULAR	START	START	1	3333096.80	0031057	REGULAR	REGULAR	START	START	1
1	FALSE	3350076.40	2081007	REGULAR	REGULAR	START	START	1	3350076.40	2081007	REGULAR	REGULAR	START	START	1
1	FALSE	3414747.60	0093095	REGULAR	REGULAR	START	START	1	3414747.60	0093095	REGULAR	REGULAR	START	START	1
1	FALSE	4528029.14	2045045	REGULAR	REGULAR	START	START	1	4528029.14	2045045	REGULAR	REGULAR	START	START	1
1	FALSE	3322333.20	3067069	REGULAR	REGULAR	START	START	1	3322333.20	3067069	REGULAR	REGULAR	START	START	1
1	FALSE	4576600.82	1019019	REGULAR	REGULAR	START	START	1	4576600.82	1019019	REGULAR	REGULAR	START	START	1
1	FALSE	3338650.00	1075063	REGULAR	REGULAR	START	START	1	3338650.00	1075063	REGULAR	REGULAR	START	START	1
1	FALSE	5135226.67	3025013	ELITE	ELITE	START	START	1	5135226.67	3025013	ELITE	ELITE	START	START	1
