Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	6052042.82	16232XXXX08512075	REGULAR	REGULAR	START	START	1	6052042.82	16232XXXX08512075	REGULAR	REGULAR	START	START	1
1	FALSE	3732397616.59	0626109XX21024530	REGULAR	REGULAR	START	START	1	3732397616.59	0626109XX21024530	REGULAR	REGULAR	START	START	1
1	FALSE	146.42	11250XX0202018550	REGULAR	REGULAR	START	START	1	146.42	11250XX0202018550	REGULAR	REGULAR	START	START	1
1	FALSE	353.51	01212XXXX14505505	REGULAR	REGULAR	START	START	1	353.51	01212XXXX14505505	REGULAR	REGULAR	START	START	1
1	FALSE	229.49	03742XXXX24015065	REGULAR	REGULAR	START	START	1	229.49	03742XXXX24015065	REGULAR	REGULAR	START	START	1
1	FALSE	522.58	13700XXXX11502520	REGULAR	REGULAR	START	START	1	522.58	13700XXXX11502520	REGULAR	REGULAR	START	START	1
1	FALSE	176714192.78	18751XX0205021540	REGULAR	REGULAR	START	START	1	176714192.78	18751XX0205021540	REGULAR	REGULAR	START	START	1
1	FALSE	711.53	08720XXXX17509085	REGULAR	REGULAR	START	START	1	711.53	08720XXXX17509085	REGULAR	REGULAR	START	START	1
1	FALSE	5067412319.01	17210XXXX00501010	REGULAR	REGULAR	START	START	1	5067412319.01	17210XXXX00501010	REGULAR	REGULAR	START	START	1
1	FALSE	431.81	07241XXXX13013555	REGULAR	REGULAR	START	START	1	431.81	07241XXXX13013555	REGULAR	REGULAR	START	START	1
1	FALSE	118.25	02721XXXX19007580	REGULAR	REGULAR	START	START	1	118.25	02721XXXX19007580	REGULAR	REGULAR	START	START	1
1	FALSE	90037567.88	14731XXXX10016545	REGULAR	REGULAR	START	START	1	90037567.88	14731XXXX10016545	REGULAR	REGULAR	START	START	1
1	FALSE	64764395.57	04702XXXX22504000	REGULAR	REGULAR	START	START	1	64764395.57	04702XXXX22504000	REGULAR	REGULAR	START	START	1
1	FALSE	10284209.35	09722XXXX03510570	REGULAR	REGULAR	START	START	1	10284209.35	09722XXXX03510570	REGULAR	REGULAR	START	START	1
1	FALSE	308.26	00250XX0216023025	REGULAR	REGULAR	START	START	1	308.26	00250XX0216023025	REGULAR	REGULAR	START	START	1
1	FALSE	712177765.00	1676004XX15503525	REGULAR	REGULAR	START	START	1	712177765.00	1676004XX15503525	REGULAR	REGULAR	START	START	1
1	FALSE	136.27	06731XXXX02516070	REGULAR	REGULAR	START	START	1	136.27	06731XXXX02516070	REGULAR	REGULAR	START	START	1
1	FALSE	21111389.71	11712XXXX21522005	REGULAR	REGULAR	START	START	1	21111389.71	11712XXXX21522005	REGULAR	REGULAR	START	START	1
1	FALSE	14839.66	01740XXXX09009550	ELITE	ELITE	START	START	1	14839.66	01740XXXX09009550	ELITE	ELITE	START	START	1
1	FALSE	11038.19	04200XXXX06019015	ELITE	ELITE	START	START	1	11038.19	04200XXXX06019015	ELITE	ELITE	START	START	1
1	FALSE	1505.91	14231XXXX18506560	REGULAR	REGULAR	START	START	1	1505.91	14231XXXX18506560	REGULAR	REGULAR	START	START	1
1	FALSE	317.36	19221XXXX24513085	REGULAR	REGULAR	START	START	1	317.36	19221XXXX24513085	REGULAR	REGULAR	START	START	1
1	FALSE	592882076.14	09252XX0212000540	REGULAR	REGULAR	START	START	1	592882076.14	09252XX0212000540	REGULAR	REGULAR	START	START	1
1	FALSE	727.66	13220XXXX13514575	REGULAR	REGULAR	START	START	1	727.66	13220XXXX13514575	REGULAR	REGULAR	START	START	1
1	FALSE	11390414.71	08201XXXX07520510	REGULAR	REGULAR	START	START	1	11390414.71	08201XXXX07520510	REGULAR	REGULAR	START	START	1
1	FALSE	2123550.21	18242XXXX20008055	REGULAR	REGULAR	START	START	1	2123550.21	18242XXXX20008055	REGULAR	REGULAR	START	START	1
1	FALSE	34238377.46	10751XX0223005020	REGULAR	REGULAR	START	START	1	34238377.46	10751XX0223005020	REGULAR	REGULAR	START	START	1
