Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	306642.66	04240XXXX09810862	REGULAR	REGULAR	START	START	1	306642.66	04240XXXX09810862	REGULAR	REGULAR	START	START	1
1	FALSE	3330045717.97	14201XXXX22223118	REGULAR	REGULAR	START	START	1	3330045717.97	14201XXXX22223118	REGULAR	REGULAR	START	START	1
1	FALSE	19969399796.11	1926110XX16004440	REGULAR	REGULAR	START	START	1	19969399796.11	1926110XX16004440	REGULAR	REGULAR	START	START	1
1	FALSE	3071115.91	09222XXXX03617084	REGULAR	REGULAR	START	START	1	3071115.91	09222XXXX03617084	REGULAR	REGULAR	START	START	1
1	FALSE	982247092.45	16630XXXX19213874	REGULAR	REGULAR	START	START	1	982247092.45	16630XXXX19213874	REGULAR	REGULAR	START	START	1
1	FALSE	269076.01	01811XXXX00420006	REGULAR	REGULAR	START	START	1	269076.01	01811XXXX00420006	REGULAR	REGULAR	START	START	1
1	FALSE	9012378307.47	11652XX0612807652	REGULAR	REGULAR	START	START	1	9012378307.47	11652XX0612807652	REGULAR	REGULAR	START	START	1
1	FALSE	871161.99	03031XXXX08218680	REGULAR	REGULAR	START	START	1	871161.99	03031XXXX08218680	REGULAR	REGULAR	START	START	1
1	FALSE	22663375250.91	1306020XX20806034	REGULAR	REGULAR	START	START	1	22663375250.91	1306020XX20806034	REGULAR	REGULAR	START	START	1
1	FALSE	825772.88	08040XXXX02012256	REGULAR	REGULAR	START	START	1	825772.88	08040XXXX02012256	REGULAR	REGULAR	START	START	1
1	FALSE	6066777978.85	17812XXXX14424812	REGULAR	REGULAR	START	START	1	6066777978.85	17812XXXX14424812	REGULAR	REGULAR	START	START	1
1	FALSE	504678.87	05400XXXX11221600	ELITE	ELITE	START	START	1	504678.87	05400XXXX11221600	ELITE	ELITE	START	START	1
1	FALSE	3753596604.44	15431XXXX23809246	REGULAR	REGULAR	START	START	1	3753596604.44	15431XXXX23809246	REGULAR	REGULAR	START	START	1
1	FALSE	423936.74	10421XXXX17615468	REGULAR	REGULAR	START	START	1	423936.74	10421XXXX17615468	REGULAR	REGULAR	START	START	1
1	FALSE	464585.09	00452XX0605002824	REGULAR	REGULAR	START	START	1	464585.09	00452XX0605002824	REGULAR	REGULAR	START	START	1
1	FALSE	397843366.86	06032XXXX18413048	REGULAR	REGULAR	START	START	1	397843366.86	06032XXXX18413048	REGULAR	REGULAR	START	START	1
