Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	306642.66	04240XXXX09010060	REGULAR	REGULAR	START	START	1	306642.66	04240XXXX09010060	REGULAR	REGULAR	START	START	1
1	FALSE	3330045717.97	14201XXXX22023010	REGULAR	REGULAR	START	START	1	3330045717.97	14201XXXX22023010	REGULAR	REGULAR	START	START	1
1	FALSE	19969399796.11	1926104XX16004040	REGULAR	REGULAR	START	START	1	19969399796.11	1926104XX16004040	REGULAR	REGULAR	START	START	1
1	FALSE	3071115.91	09222XXXX03017080	REGULAR	REGULAR	START	START	1	3071115.91	09222XXXX03017080	REGULAR	REGULAR	START	START	1
1	FALSE	982247092.45	16230XXXX19013070	REGULAR	REGULAR	START	START	1	982247092.45	16230XXXX19013070	REGULAR	REGULAR	START	START	1
1	FALSE	269076.01	01211XXXX00020000	REGULAR	REGULAR	START	START	1	269076.01	01211XXXX00020000	REGULAR	REGULAR	START	START	1
1	FALSE	9012378307.47	11252XX0212007050	REGULAR	REGULAR	START	START	1	9012378307.47	11252XX0212007050	REGULAR	REGULAR	START	START	1
1	FALSE	871161.99	02231XXXX08018080	REGULAR	REGULAR	START	START	1	871161.99	02231XXXX08018080	REGULAR	REGULAR	START	START	1
1	FALSE	22663375250.91	1226014XX20006030	REGULAR	REGULAR	START	START	1	22663375250.91	1226014XX20006030	REGULAR	REGULAR	START	START	1
1	FALSE	825772.88	07240XXXX02012050	REGULAR	REGULAR	START	START	1	825772.88	07240XXXX02012050	REGULAR	REGULAR	START	START	1
1	FALSE	6066777978.85	17212XXXX14024010	REGULAR	REGULAR	START	START	1	6066777978.85	17212XXXX14024010	REGULAR	REGULAR	START	START	1
1	FALSE	504678.87	05200XXXX11021000	ELITE	ELITE	START	START	1	504678.87	05200XXXX11021000	ELITE	ELITE	START	START	1
1	FALSE	3753596604.44	15231XXXX23009040	REGULAR	REGULAR	START	START	1	3753596604.44	15231XXXX23009040	REGULAR	REGULAR	START	START	1
1	FALSE	423936.74	10221XXXX17015060	REGULAR	REGULAR	START	START	1	423936.74	10221XXXX17015060	REGULAR	REGULAR	START	START	1
1	FALSE	464585.09	00252XX0205002020	REGULAR	REGULAR	START	START	1	464585.09	00252XX0205002020	REGULAR	REGULAR	START	START	1
1	FALSE	397843366.86	05232XXXX18013040	REGULAR	REGULAR	START	START	1	397843366.86	05232XXXX18013040	REGULAR	REGULAR	START	START	1
1	FALSE	1681599936.66	15200XXXX05000000	REGULAR	REGULAR	START	START	1	1681599936.66	15200XXXX05000000	REGULAR	REGULAR	START	START	1
1	FALSE	566619.61	00210XXXX24006070	REGULAR	REGULAR	START	START	1	566619.61	00210XXXX24006070	REGULAR	REGULAR	START	START	1
1	FALSE	3987420439.00	10251XX1012019020	REGULAR	REGULAR	START	START	1	3987420439.00	10251XX1012019020	REGULAR	REGULAR	START	START	1
1	FALSE	5630077786.80	08212XXXX21003010	REGULAR	REGULAR	START	START	1	5630077786.80	08212XXXX21003010	REGULAR	REGULAR	START	START	1
1	FALSE	1213125.89	18240XXXX09016050	REGULAR	REGULAR	START	START	1	1213125.89	18240XXXX09016050	REGULAR	REGULAR	START	START	1
1	FALSE	26852561868.05	0326104XX15022030	REGULAR	REGULAR	START	START	1	26852561868.05	0326104XX15022030	REGULAR	REGULAR	START	START	1
1	FALSE	2041279719.81	13222XXXX02010080	REGULAR	REGULAR	START	START	1	2041279719.81	13222XXXX02010080	REGULAR	REGULAR	START	START	1
1	FALSE	747210.42	14241XXXX04017060	REGULAR	REGULAR	START	START	1	747210.42	14241XXXX04017060	REGULAR	REGULAR	START	START	1
1	FALSE	5757303128.84	04202XXXX16005020	REGULAR	REGULAR	START	START	1	5757303128.84	04202XXXX16005020	REGULAR	REGULAR	START	START	1
