Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	474.49	09232XXXX07504550	REGULAR	REGULAR	START	START	1	474.49	09232XXXX07504550	REGULAR	REGULAR	START	START	1
1	FALSE	982.20	1926009XX20017005	REGULAR	REGULAR	START	START	1	982.20	1926009XX20017005	REGULAR	REGULAR	START	START	1
1	FALSE	509.21	04251XX0201523070	REGULAR	REGULAR	START	START	1	509.21	04251XX0201523070	REGULAR	REGULAR	START	START	1
1	FALSE	550.41	14212XXXX14010525	REGULAR	REGULAR	START	START	1	550.41	14212XXXX14010525	REGULAR	REGULAR	START	START	1
1	FALSE	458.88	11741XXXX23520085	REGULAR	REGULAR	START	START	1	458.88	11741XXXX23520085	REGULAR	REGULAR	START	START	1
1	FALSE	597.98	01700XXXX11007540	REGULAR	REGULAR	START	START	1	597.98	01700XXXX11007540	REGULAR	REGULAR	START	START	1
1	FALSE	627.85	16720XXXX17001060	REGULAR	REGULAR	START	START	1	627.85	16720XXXX17001060	REGULAR	REGULAR	START	START	1
1	FALSE	387.90	15742XXXX12521575	ELITE	ELITE	START	START	1	387.90	15742XXXX12521575	ELITE	ELITE	START	START	1
1	FALSE	482.33	05711XXXX00009030	REGULAR	REGULAR	START	START	1	482.33	05711XXXX00009030	REGULAR	REGULAR	START	START	1
1	FALSE	595.45	10720XXXX18502555	REGULAR	REGULAR	START	START	1	595.45	10720XXXX18502555	REGULAR	REGULAR	START	START	1
1	FALSE	752.73	18202XXXX21512020	REGULAR	REGULAR	START	START	1	752.73	18202XXXX21512020	REGULAR	REGULAR	START	START	1
1	FALSE	580.67	08230XXXX09024565	REGULAR	REGULAR	START	START	1	580.67	08230XXXX09024565	REGULAR	REGULAR	START	START	1
1	FALSE	717.34	13251XX0215518500	REGULAR	REGULAR	START	START	1	717.34	13251XX0215518500	REGULAR	REGULAR	START	START	1
1	FALSE	603.75	03222XXXX03006045	REGULAR	REGULAR	START	START	1	603.75	03222XXXX03006045	REGULAR	REGULAR	START	START	1
1	FALSE	580.12	03711XXXX21017530	REGULAR	REGULAR	START	START	1	580.12	03711XXXX21017530	REGULAR	REGULAR	START	START	1
1	FALSE	405.27	13740XXXX08505075	REGULAR	REGULAR	START	START	1	405.27	13740XXXX08505075	REGULAR	REGULAR	START	START	1
1	FALSE	521.31	18732XXXX02024050	REGULAR	REGULAR	START	START	1	521.31	18732XXXX02024050	REGULAR	REGULAR	START	START	1
1	FALSE	1219.05	0876019XX14511505	REGULAR	REGULAR	START	START	1	1219.05	0876019XX14511505	REGULAR	REGULAR	START	START	1
1	FALSE	707.96	16251XX0211508520	REGULAR	REGULAR	START	START	1	707.96	16251XX0211508520	REGULAR	REGULAR	START	START	1
1	FALSE	417.10	06220XXXX24021065	REGULAR	REGULAR	START	START	1	417.10	06220XXXX24021065	REGULAR	REGULAR	START	START	1
1	FALSE	708.11	11201XXXX05514540	REGULAR	REGULAR	START	START	1	708.11	11201XXXX05514540	REGULAR	REGULAR	START	START	1
1	FALSE	401.18	01242XXXX18002085	REGULAR	REGULAR	START	START	1	401.18	01242XXXX18002085	REGULAR	REGULAR	START	START	1
1	FALSE	493.48	04742XXXX19500580	REGULAR	REGULAR	START	START	1	493.48	04742XXXX19500580	REGULAR	REGULAR	START	START	1
1	FALSE	478.12	14710XXXX07013035	REGULAR	REGULAR	START	START	1	478.12	14710XXXX07013035	REGULAR	REGULAR	START	START	1
1	FALSE	576.43	00221XXXX13019055	REGULAR	REGULAR	START	START	1	576.43	00221XXXX13019055	REGULAR	REGULAR	START	START	1
1	FALSE	618.21	17230XXXX03503565	REGULAR	REGULAR	START	START	1	618.21	17230XXXX03503565	REGULAR	REGULAR	START	START	1
1	FALSE	611.57	07202XXXX16016025	REGULAR	REGULAR	START	START	1	611.57	07202XXXX16016025	REGULAR	REGULAR	START	START	1
1	FALSE	524.87	12211XXXX10022545	REGULAR	REGULAR	START	START	1	524.87	12211XXXX10022545	REGULAR	REGULAR	START	START	1
1	FALSE	614.91	02250XX0222510000	REGULAR	REGULAR	START	START	1	614.91	02250XX0222510000	REGULAR	REGULAR	START	START	1
1	FALSE	509.60	02700XXXX20023515	REGULAR	REGULAR	START	START	1	509.60	02700XXXX20023515	REGULAR	REGULAR	START	START	1
1	FALSE	518.49	12732XXXX07511060	REGULAR	REGULAR	START	START	1	518.49	12732XXXX07511060	REGULAR	REGULAR	START	START	1
1	FALSE	618.35	17720XXXX01017580	REGULAR	REGULAR	START	START	1	618.35	17720XXXX01017580	REGULAR	REGULAR	START	START	1
1	FALSE	649.85	07751XX0713505035	REGULAR	REGULAR	START	START	1	649.85	07751XX0713505035	REGULAR	REGULAR	START	START	1
1	FALSE	585.78	10212XXXX04020500	REGULAR	REGULAR	START	START	1	585.78	10212XXXX04020500	REGULAR	REGULAR	START	START	1
1	FALSE	454.56	00240XXXX16508045	REGULAR	REGULAR	START	START	1	454.56	00240XXXX16508045	REGULAR	REGULAR	START	START	1
1	FALSE	572.53	05222XXXX23014070	REGULAR	REGULAR	START	START	1	572.53	05222XXXX23014070	REGULAR	REGULAR	START	START	1
1	FALSE	1144.35	1526109XX10501525	REGULAR	REGULAR	START	START	1	1144.35	1526109XX10501525	REGULAR	REGULAR	START	START	1
1	FALSE	564.02	06741XXXX21006555	REGULAR	REGULAR	START	START	1	564.02	06741XXXX21006555	REGULAR	REGULAR	START	START	1
1	FALSE	830.44	16202XXXX09019010	REGULAR	REGULAR	START	START	1	830.44	16202XXXX09019010	REGULAR	REGULAR	START	START	1
1	FALSE	605.13	01722XXXX15012575	REGULAR	REGULAR	START	START	1	605.13	01722XXXX15012575	REGULAR	REGULAR	START	START	1
1	FALSE	611.91	11750XX0702500030	REGULAR	REGULAR	START	START	1	611.91	11750XX0702500030	REGULAR	REGULAR	START	START	1
1	FALSE	492.03	13731XXXX12015585	REGULAR	REGULAR	START	START	1	492.03	13731XXXX12015585	REGULAR	REGULAR	START	START	1
1	FALSE	656.31	18751XX0705509565	REGULAR	REGULAR	START	START	1	656.31	18751XX0705509565	REGULAR	REGULAR	START	START	1
1	FALSE	416.90	09210XXXX18022020	ELITE	ELITE	START	START	1	416.90	09210XXXX18022020	ELITE	ELITE	START	START	1
1	FALSE	507.80	09742XXXX11018060	REGULAR	REGULAR	START	START	1	507.80	09742XXXX11018060	REGULAR	REGULAR	START	START	1
1	FALSE	589.75	19711XXXX23505515	REGULAR	REGULAR	START	START	1	589.75	19711XXXX23505515	REGULAR	REGULAR	START	START	1
1	FALSE	581.70	04730XXXX05011585	REGULAR	REGULAR	START	START	1	581.70	04730XXXX05011585	REGULAR	REGULAR	START	START	1
1	FALSE	642.32	02251XX0708021025	REGULAR	REGULAR	START	START	1	642.32	02251XX0708021025	REGULAR	REGULAR	START	START	1
1	FALSE	586.55	12222XXXX20508575	REGULAR	REGULAR	START	START	1	586.55	12222XXXX20508575	REGULAR	REGULAR	START	START	1
1	FALSE	663.96	07201XXXX02002505	REGULAR	REGULAR	START	START	1	663.96	07201XXXX02002505	REGULAR	REGULAR	START	START	1
1	FALSE	608.46	17230XXXX14015050	REGULAR	REGULAR	START	START	1	608.46	17230XXXX14015050	REGULAR	REGULAR	START	START	1
1	FALSE	521.78	13200XXXX12504010	REGULAR	REGULAR	START	START	1	521.78	13200XXXX12504010	REGULAR	REGULAR	START	START	1
1	FALSE	480.72	03231XXXX00016555	REGULAR	REGULAR	START	START	1	480.72	03231XXXX00016555	REGULAR	REGULAR	START	START	1
1	FALSE	464.16	08211XXXX06510580	REGULAR	REGULAR	START	START	1	464.16	08211XXXX06510580	REGULAR	REGULAR	START	START	1
1	FALSE	672.86	18252XX0719022530	REGULAR	REGULAR	START	START	1	672.86	18252XX0719022530	REGULAR	REGULAR	START	START	1
1	FALSE	1160.88	0576004XX03519520	REGULAR	REGULAR	START	START	1	1160.88	0576004XX03519520	REGULAR	REGULAR	START	START	1
1	FALSE	516.13	15721XXXX16007065	REGULAR	REGULAR	START	START	1	516.13	15721XXXX16007065	REGULAR	REGULAR	START	START	1
1	FALSE	595.12	00702XXXX09501000	REGULAR	REGULAR	START	START	1	595.12	00702XXXX09501000	REGULAR	REGULAR	START	START	1
1	FALSE	405.92	10740XXXX22013545	ELITE	ELITE	START	START	1	405.92	10740XXXX22013545	ELITE	ELITE	START	START	1
1	FALSE	609.00	04220XXXX16502535	REGULAR	REGULAR	START	START	1	609.00	04220XXXX16502535	REGULAR	REGULAR	START	START	1
1	FALSE	633.18	14252XX0704015080	REGULAR	REGULAR	START	START	1	633.18	14252XX0704015080	REGULAR	REGULAR	START	START	1
1	FALSE	383.05	19200XXXX10009060	REGULAR	REGULAR	START	START	1	383.05	19200XXXX10009060	REGULAR	REGULAR	START	START	1
1	FALSE	634.81	09241XXXX22521515	REGULAR	REGULAR	START	START	1	634.81	09241XXXX22521515	REGULAR	REGULAR	START	START	1
1	FALSE	532.08	11732XXXX07005525	REGULAR	REGULAR	START	START	1	532.08	11732XXXX07005525	REGULAR	REGULAR	START	START	1
1	FALSE	990.54	0176014XX19518570	REGULAR	REGULAR	START	START	1	990.54	0176014XX19518570	REGULAR	REGULAR	START	START	1
1	FALSE	534.35	06712XXXX13512050	REGULAR	REGULAR	START	START	1	534.35	06712XXXX13512050	REGULAR	REGULAR	START	START	1
1	FALSE	568.53	16741XXXX01024505	REGULAR	REGULAR	START	START	1	568.53	16741XXXX01024505	REGULAR	REGULAR	START	START	1
1	FALSE	575.27	07720XXXX21001040	REGULAR	REGULAR	START	START	1	575.27	07720XXXX21001040	REGULAR	REGULAR	START	START	1
1	FALSE	1110.60	1776119XX08513585	REGULAR	REGULAR	START	START	1	1110.60	1776119XX08513585	REGULAR	REGULAR	START	START	1
1	FALSE	659.40	02742XXXX15020020	REGULAR	REGULAR	START	START	1	659.40	02742XXXX15020020	REGULAR	REGULAR	START	START	1
1	FALSE	533.23	12700XXXX02507565	REGULAR	REGULAR	START	START	1	533.23	12700XXXX02507565	REGULAR	REGULAR	START	START	1
1	FALSE	619.01	05251XX0718016575	REGULAR	REGULAR	START	START	1	619.01	05251XX0718016575	REGULAR	REGULAR	START	START	1
1	FALSE	544.24	15212XXXX05504030	REGULAR	REGULAR	START	START	1	544.24	15212XXXX05504030	REGULAR	REGULAR	START	START	1
1	FALSE	708.83	00201XXXX24510555	REGULAR	REGULAR	START	START	1	708.83	00201XXXX24510555	REGULAR	REGULAR	START	START	1
1	FALSE	670.33	10230XXXX11523010	REGULAR	REGULAR	START	START	1	670.33	10230XXXX11523010	REGULAR	REGULAR	START	START	1
1	FALSE	1196.13	1226114XX12509565	REGULAR	REGULAR	START	START	1	1196.13	1226114XX12509565	REGULAR	REGULAR	START	START	1
1	FALSE	396.24	02232XXXX00022025	REGULAR	REGULAR	START	START	1	396.24	02232XXXX00022025	REGULAR	REGULAR	START	START	1
1	FALSE	543.62	17211XXXX18516045	REGULAR	REGULAR	START	START	1	543.62	17211XXXX18516045	REGULAR	REGULAR	START	START	1
1	FALSE	533.07	07250XX0706503500	REGULAR	REGULAR	START	START	1	533.07	07250XX0706503500	REGULAR	REGULAR	START	START	1
1	FALSE	603.75	09701XXXX03013055	REGULAR	REGULAR	START	START	1	603.75	09701XXXX03013055	REGULAR	REGULAR	START	START	1
1	FALSE	522.55	19742XXXX15500510	REGULAR	REGULAR	START	START	1	522.55	19742XXXX15500510	REGULAR	REGULAR	START	START	1
1	FALSE	536.95	14720XXXX22019035	REGULAR	REGULAR	START	START	1	536.95	14720XXXX22019035	REGULAR	REGULAR	START	START	1
1	FALSE	483.33	04752XX0709506580	REGULAR	REGULAR	START	START	1	483.33	04752XX0709506580	REGULAR	REGULAR	START	START	1
1	FALSE	499.47	01230XXXX04505005	REGULAR	REGULAR	START	START	1	499.47	01230XXXX04505005	REGULAR	REGULAR	START	START	1
1	FALSE	640.53	11202XXXX17017550	REGULAR	REGULAR	START	START	1	640.53	11202XXXX17017550	REGULAR	REGULAR	START	START	1
