Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	84.61	00231XXXX17022050	REGULAR	REGULAR	START	START	1	84.61	00231XXXX17022050	REGULAR	REGULAR	START	START	1
1	FALSE	50.55	05251XX0223003070	REGULAR	REGULAR	START	START	1	50.55	05251XX0223003070	REGULAR	REGULAR	START	START	1
1	FALSE	2151.42	15210XXXX11016020	ELITE	ELITE	START	START	1	2151.42	15210XXXX11016020	ELITE	ELITE	START	START	1
1	FALSE	191.43	13221XXXX07019060	REGULAR	REGULAR	START	START	1	191.43	13221XXXX07019060	REGULAR	REGULAR	START	START	1
1	FALSE	43.40	03250XX0220006010	REGULAR	REGULAR	START	START	1	43.40	03250XX0220006010	REGULAR	REGULAR	START	START	1
1	FALSE	571.62	08202XXXX14012030	REGULAR	REGULAR	START	START	1	571.62	08202XXXX14012030	REGULAR	REGULAR	START	START	1
1	FALSE	428.53	18240XXXX01000080	REGULAR	REGULAR	START	START	1	428.53	18240XXXX01000080	REGULAR	REGULAR	START	START	1
1	FALSE	42.03	14240XXXX09002080	REGULAR	REGULAR	START	START	1	42.03	14240XXXX09002080	REGULAR	REGULAR	START	START	1
1	FALSE	106.49	04211XXXX21014040	REGULAR	REGULAR	START	START	1	106.49	04211XXXX21014040	REGULAR	REGULAR	START	START	1
1	FALSE	3401.55	0926004XX15008020	REGULAR	REGULAR	START	START	1	3401.55	0926004XX15008020	REGULAR	REGULAR	START	START	1
1	FALSE	1402.72	19222XXXX03020060	REGULAR	REGULAR	START	START	1	1402.72	19222XXXX03020060	REGULAR	REGULAR	START	START	1
1	FALSE	13.87	06220XXXX18023050	REGULAR	REGULAR	START	START	1	13.87	06220XXXX18023050	REGULAR	REGULAR	START	START	1
1	FALSE	2055.90	16252XX0206011010	REGULAR	REGULAR	START	START	1	2055.90	16252XX0206011010	REGULAR	REGULAR	START	START	1
1	FALSE	58.04	01232XXXX12005070	REGULAR	REGULAR	START	START	1	58.04	01232XXXX12005070	REGULAR	REGULAR	START	START	1
1	FALSE	584.29	11201XXXX00017030	REGULAR	REGULAR	START	START	1	584.29	11201XXXX00017030	REGULAR	REGULAR	START	START	1
1	FALSE	2429.58	13202XXXX16007040	REGULAR	REGULAR	START	START	1	2429.58	13202XXXX16007040	REGULAR	REGULAR	START	START	1
1	FALSE	38.24	03241XXXX03019080	REGULAR	REGULAR	START	START	1	38.24	03241XXXX03019080	REGULAR	REGULAR	START	START	1
1	FALSE	1395.50	1826004XX22013010	REGULAR	REGULAR	START	START	1	1395.50	1826004XX22013010	REGULAR	REGULAR	START	START	1
1	FALSE	1111.27	08222XXXX10001060	REGULAR	REGULAR	START	START	1	1111.27	08222XXXX10001060	REGULAR	REGULAR	START	START	1
1	FALSE	49.29	01200XXXX07010020	REGULAR	REGULAR	START	START	1	49.29	01200XXXX07010020	REGULAR	REGULAR	START	START	1
1	FALSE	1859.39	11231XXXX19023070	ELITE	ELITE	START	START	1	1859.39	11231XXXX19023070	ELITE	ELITE	START	START	1
1	FALSE	768.03	06252XX0200016000	REGULAR	REGULAR	START	START	1	768.03	06252XX0200016000	REGULAR	REGULAR	START	START	1
1	FALSE	315.83	16211XXXX13004050	REGULAR	REGULAR	START	START	1	315.83	16211XXXX13004050	REGULAR	REGULAR	START	START	1
1	FALSE	556.44	12251XX0214015010	REGULAR	REGULAR	START	START	1	556.44	12251XX0214015010	REGULAR	REGULAR	START	START	1
1	FALSE	203.66	02222XXXX02002050	REGULAR	REGULAR	START	START	1	203.66	02222XXXX02002050	REGULAR	REGULAR	START	START	1
1	FALSE	790.10	07230XXXX08021080	REGULAR	REGULAR	START	START	1	790.10	07230XXXX08021080	REGULAR	REGULAR	START	START	1
1	FALSE	3143.50	17202XXXX21009030	REGULAR	REGULAR	START	START	1	3143.50	17202XXXX21009030	REGULAR	REGULAR	START	START	1
1	FALSE	190.21	09230XXXX24005040	REGULAR	REGULAR	START	START	1	190.21	09230XXXX24005040	REGULAR	REGULAR	START	START	1
1	FALSE	1907.45	14242XXXX18024060	ELITE	ELITE	START	START	1	1907.45	14242XXXX18024060	ELITE	ELITE	START	START	1
1	FALSE	91.46	04210XXXX05012020	REGULAR	REGULAR	START	START	1	91.46	04210XXXX05012020	REGULAR	REGULAR	START	START	1
1	FALSE	57.97	09210XXXX12018000	REGULAR	REGULAR	START	START	1	57.97	09210XXXX12018000	REGULAR	REGULAR	START	START	1
1	FALSE	905.73	19241XXXX00006050	REGULAR	REGULAR	START	START	1	905.73	19241XXXX00006050	REGULAR	REGULAR	START	START	1
1	FALSE	72.40	14220XXXX06012070	REGULAR	REGULAR	START	START	1	72.40	14220XXXX06012070	REGULAR	REGULAR	START	START	1
1	FALSE	131.57	12250XX0203003040	REGULAR	REGULAR	START	START	1	131.57	12250XX0203003040	REGULAR	REGULAR	START	START	1
1	FALSE	45.77	02212XXXX16015080	REGULAR	REGULAR	START	START	1	45.77	02212XXXX16015080	REGULAR	REGULAR	START	START	1
1	FALSE	2300.84	17202XXXX09021020	REGULAR	REGULAR	START	START	1	2300.84	17202XXXX09021020	REGULAR	REGULAR	START	START	1
1	FALSE	60.59	07231XXXX22009060	REGULAR	REGULAR	START	START	1	60.59	07231XXXX22009060	REGULAR	REGULAR	START	START	1
1	FALSE	307.59	10212XXXX02023010	REGULAR	REGULAR	START	START	1	307.59	10212XXXX02023010	REGULAR	REGULAR	START	START	1
1	FALSE	38.98	00240XXXX14011050	REGULAR	REGULAR	START	START	1	38.98	00240XXXX14011050	REGULAR	REGULAR	START	START	1
1	FALSE	3074.90	1526114XX08004030	REGULAR	REGULAR	START	START	1	3074.90	1526114XX08004030	REGULAR	REGULAR	START	START	1
1	FALSE	40.65	05232XXXX20017080	REGULAR	REGULAR	START	START	1	40.65	05232XXXX20017080	REGULAR	REGULAR	START	START	1
1	FALSE	155.29	03201XXXX23020000	REGULAR	REGULAR	START	START	1	155.29	03201XXXX23020000	REGULAR	REGULAR	START	START	1
1	FALSE	287.79	13242XXXX11007040	REGULAR	REGULAR	START	START	1	287.79	13242XXXX11007040	REGULAR	REGULAR	START	START	1
1	FALSE	343.69	08251XX0217001020	REGULAR	REGULAR	START	START	1	343.69	08251XX0217001020	REGULAR	REGULAR	START	START	1
1	FALSE	55.28	18220XXXX05014070	REGULAR	REGULAR	START	START	1	55.28	18220XXXX05014070	REGULAR	REGULAR	START	START	1
1	FALSE	55.20	15231XXXX15010080	REGULAR	REGULAR	START	START	1	55.20	15231XXXX15010080	REGULAR	REGULAR	START	START	1
1	FALSE	4718.58	0526004XX02022030	REGULAR	REGULAR	START	START	1	4718.58	0526004XX02022030	REGULAR	REGULAR	START	START	1
1	FALSE	77.74	10251XX0221016050	REGULAR	REGULAR	START	START	1	77.74	10251XX0221016050	REGULAR	REGULAR	START	START	1
1	FALSE	85.15	00212XXXX09003010	REGULAR	REGULAR	START	START	1	85.15	00212XXXX09003010	REGULAR	REGULAR	START	START	1
1	FALSE	164.81	07221XXXX12006060	REGULAR	REGULAR	START	START	1	164.81	07221XXXX12006060	REGULAR	REGULAR	START	START	1
1	FALSE	79.68	02242XXXX05013040	REGULAR	REGULAR	START	START	1	79.68	02242XXXX05013040	REGULAR	REGULAR	START	START	1
1	FALSE	93.69	12200XXXX18000000	REGULAR	REGULAR	START	START	1	93.69	12200XXXX18000000	REGULAR	REGULAR	START	START	1
1	FALSE	99.46	11222XXXX23011080	REGULAR	REGULAR	START	START	1	99.46	11222XXXX23011080	REGULAR	REGULAR	START	START	1
1	FALSE	1955.13	01250XX1010024040	ELITE	ELITE	START	START	1	1955.13	01250XX1010024040	ELITE	ELITE	START	START	1
1	FALSE	503.13	06201XXXX04005010	REGULAR	REGULAR	START	START	1	503.13	06201XXXX04005010	REGULAR	REGULAR	START	START	1
1	FALSE	93.91	16230XXXX16018060	REGULAR	REGULAR	START	START	1	93.91	16230XXXX16018060	REGULAR	REGULAR	START	START	1
1	FALSE	5478.07	1326114XX13021020	REGULAR	REGULAR	START	START	1	5478.07	1326114XX13021020	REGULAR	REGULAR	START	START	1
1	FALSE	54.57	04220XXXX01008070	REGULAR	REGULAR	START	START	1	54.57	04220XXXX01008070	REGULAR	REGULAR	START	START	1
