Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	152170.59	00252XX0210006040	REGULAR	REGULAR	START	START	1	152170.59	00252XX0210006040	REGULAR	REGULAR	START	START	1
1	FALSE	929213.91	10210XXXX22019090	REGULAR	REGULAR	START	START	1	929213.91	10210XXXX22019090	REGULAR	REGULAR	START	START	1
1	FALSE	16511.19	05200XXXX03013020	REGULAR	REGULAR	START	START	1	16511.19	05200XXXX03013020	REGULAR	REGULAR	START	START	1
1	FALSE	152131732.95	15231XXXX16000060	REGULAR	REGULAR	START	START	1	152131732.95	15231XXXX16000060	REGULAR	REGULAR	START	START	1
1	FALSE	3953559765.06	1226014XX13009030	REGULAR	REGULAR	START	START	1	3953559765.06	1226014XX13009030	REGULAR	REGULAR	START	START	1
1	FALSE	47201.82	02222XXXX00022070	REGULAR	REGULAR	START	START	1	47201.82	02222XXXX00022070	REGULAR	REGULAR	START	START	1
1	FALSE	1269857048.53	17212XXXX19016010	REGULAR	REGULAR	START	START	1	1269857048.53	17212XXXX19016010	REGULAR	REGULAR	START	START	1
1	FALSE	11025581.33	07241XXXX06003050	REGULAR	REGULAR	START	START	1	11025581.33	07241XXXX06003050	REGULAR	REGULAR	START	START	1
1	FALSE	419349.06	04240XXXX05005050	REGULAR	REGULAR	START	START	1	419349.06	04240XXXX05005050	REGULAR	REGULAR	START	START	1
1	FALSE	2651811108.49	14202XXXX17017000	REGULAR	REGULAR	START	START	1	2651811108.49	14202XXXX17017000	REGULAR	REGULAR	START	START	1
1	FALSE	941523462.79	19251XX0224011020	REGULAR	REGULAR	START	START	1	941523462.79	19251XX0224011020	REGULAR	REGULAR	START	START	1
1	FALSE	104516.36	09222XXXX11023070	REGULAR	REGULAR	START	START	1	104516.36	09222XXXX11023070	REGULAR	REGULAR	START	START	1
1	FALSE	5220021094.30	0626114XX02008030	REGULAR	REGULAR	START	START	1	5220021094.30	0626114XX02008030	REGULAR	REGULAR	START	START	1
1	FALSE	633560685.46	16230XXXX14020080	REGULAR	REGULAR	START	START	1	633560685.46	16230XXXX14020080	REGULAR	REGULAR	START	START	1
1	FALSE	246914.37	01211XXXX08014010	REGULAR	REGULAR	START	START	1	246914.37	01211XXXX08014010	REGULAR	REGULAR	START	START	1
1	FALSE	381742689.12	11252XX0221002060	REGULAR	REGULAR	START	START	1	381742689.12	11252XX0221002060	REGULAR	REGULAR	START	START	1
1	FALSE	1754095520.22	15201XXXX10009010	REGULAR	REGULAR	START	START	1	1754095520.22	15201XXXX10009010	REGULAR	REGULAR	START	START	1
1	FALSE	236841.59	05232XXXX23021060	REGULAR	REGULAR	START	START	1	236841.59	05232XXXX23021060	REGULAR	REGULAR	START	START	1
1	FALSE	156945.55	00220XXXX17002080	REGULAR	REGULAR	START	START	1	156945.55	00220XXXX17002080	REGULAR	REGULAR	START	START	1
1	FALSE	525598970.73	10251XX0204015040	REGULAR	REGULAR	START	START	1	525598970.73	10251XX0204015040	REGULAR	REGULAR	START	START	1
1	FALSE	195223273.82	13232XXXX07005070	REGULAR	REGULAR	START	START	1	195223273.82	13232XXXX07005070	REGULAR	REGULAR	START	START	1
1	FALSE	6687532849.59	0326014XX20018030	REGULAR	REGULAR	START	START	1	6687532849.59	0326014XX20018030	REGULAR	REGULAR	START	START	1
1	FALSE	12226.32	18240XXXX01024050	ELITE	ELITE	START	START	1	12226.32	18240XXXX01024050	ELITE	ELITE	START	START	1
1	FALSE	498179124.05	08211XXXX13012000	REGULAR	REGULAR	START	START	1	498179124.05	08211XXXX13012000	REGULAR	REGULAR	START	START	1
1	FALSE	2669602989.60	0926004XX18017020	REGULAR	REGULAR	START	START	1	2669602989.60	0926004XX18017020	REGULAR	REGULAR	START	START	1
1	FALSE	789388620.11	19221XXXX06004060	REGULAR	REGULAR	START	START	1	789388620.11	19221XXXX06004060	REGULAR	REGULAR	START	START	1
1	FALSE	9654399.06	14241XXXX12023040	REGULAR	REGULAR	START	START	1	9654399.06	14241XXXX12023040	REGULAR	REGULAR	START	START	1
1	FALSE	79148714.91	04202XXXX24010000	REGULAR	REGULAR	START	START	1	79148714.91	04202XXXX24010000	REGULAR	REGULAR	START	START	1
1	FALSE	70674.69	07231XXXX21001080	REGULAR	REGULAR	START	START	1	70674.69	07231XXXX21001080	REGULAR	REGULAR	START	START	1
1	FALSE	20388.15	02252XX0215020050	REGULAR	REGULAR	START	START	1	20388.15	02252XX0215020050	REGULAR	REGULAR	START	START	1
1	FALSE	2731146823.62	12210XXXX02007010	REGULAR	REGULAR	START	START	1	2731146823.62	12210XXXX02007010	REGULAR	REGULAR	START	START	1
1	FALSE	232732.64	01232XXXX18008040	REGULAR	REGULAR	START	START	1	232732.64	01232XXXX18008040	REGULAR	REGULAR	START	START	1
1	FALSE	3798705339.19	1126104XX05021000	REGULAR	REGULAR	START	START	1	3798705339.19	1126104XX05021000	REGULAR	REGULAR	START	START	1
1	FALSE	1828100155.48	16211XXXX11002020	REGULAR	REGULAR	START	START	1	1828100155.48	16211XXXX11002020	REGULAR	REGULAR	START	START	1
1	FALSE	20034.98	06240XXXX24015060	ELITE	ELITE	START	START	1	20034.98	06240XXXX24015060	ELITE	ELITE	START	START	1
1	FALSE	239652.79	14220XXXX08011050	REGULAR	REGULAR	START	START	1	239652.79	14220XXXX08011050	REGULAR	REGULAR	START	START	1
1	FALSE	17490.34	04251XX0221024010	REGULAR	REGULAR	START	START	1	17490.34	04251XX0221024010	REGULAR	REGULAR	START	START	1
1	FALSE	286495.22	09200XXXX15005030	REGULAR	REGULAR	START	START	1	286495.22	09200XXXX15005030	REGULAR	REGULAR	START	START	1
1	FALSE	110457.64	19242XXXX02018080	ELITE	ELITE	START	START	1	110457.64	19242XXXX02018080	ELITE	ELITE	START	START	1
1	FALSE	4357066530.52	10202XXXX01000020	REGULAR	REGULAR	START	START	1	4357066530.52	10202XXXX01000020	REGULAR	REGULAR	START	START	1
1	FALSE	21864.24	00231XXXX13013070	REGULAR	REGULAR	START	START	1	21864.24	00231XXXX13013070	REGULAR	REGULAR	START	START	1
1	FALSE	187259.04	05212XXXX19007050	REGULAR	REGULAR	START	START	1	187259.04	05212XXXX19007050	REGULAR	REGULAR	START	START	1
1	FALSE	25519.05	15250XX1007019000	REGULAR	REGULAR	START	START	1	25519.05	15250XX1007019000	REGULAR	REGULAR	START	START	1
1	FALSE	153266.61	03200XXXX22004040	REGULAR	REGULAR	START	START	1	153266.61	03200XXXX22004040	REGULAR	REGULAR	START	START	1
1	FALSE	170933.31	13241XXXX10016080	REGULAR	REGULAR	START	START	1	170933.31	13241XXXX10016080	REGULAR	REGULAR	START	START	1
1	FALSE	937303399.81	18221XXXX04010060	REGULAR	REGULAR	START	START	1	937303399.81	18221XXXX04010060	REGULAR	REGULAR	START	START	1
1	FALSE	17669.21	07220XXXX09017060	REGULAR	REGULAR	START	START	1	17669.21	07220XXXX09017060	REGULAR	REGULAR	START	START	1
1	FALSE	67089699.09	12211XXXX15023040	REGULAR	REGULAR	START	START	1	67089699.09	12211XXXX15023040	REGULAR	REGULAR	START	START	1
1	FALSE	76729.30	02242XXXX03011080	ELITE	ELITE	START	START	1	76729.30	02242XXXX03011080	ELITE	ELITE	START	START	1
1	FALSE	2666164965.15	14222XXXX12014050	REGULAR	REGULAR	START	START	1	2666164965.15	14222XXXX12014050	REGULAR	REGULAR	START	START	1
1	FALSE	878727614.51	05250XX0200001010	REGULAR	REGULAR	START	START	1	878727614.51	05250XX0200001010	REGULAR	REGULAR	START	START	1
1	FALSE	565076139.60	09230XXXX18008070	REGULAR	REGULAR	START	START	1	565076139.60	09230XXXX18008070	REGULAR	REGULAR	START	START	1
1	FALSE	13119.28	00201XXXX06020030	REGULAR	REGULAR	START	START	1	13119.28	00201XXXX06020030	REGULAR	REGULAR	START	START	1
1	FALSE	6564133.15	06212XXXX05018020	REGULAR	REGULAR	START	START	1	6564133.15	06212XXXX05018020	REGULAR	REGULAR	START	START	1
1	FALSE	182265.28	16250XX0217006070	REGULAR	REGULAR	START	START	1	182265.28	16250XX0217006070	REGULAR	REGULAR	START	START	1
1	FALSE	28373121.08	11231XXXX23012040	REGULAR	REGULAR	START	START	1	28373121.08	11231XXXX23012040	REGULAR	REGULAR	START	START	1
1	FALSE	5767986371.48	0126004XX11000000	REGULAR	REGULAR	START	START	1	5767986371.48	0126004XX11000000	REGULAR	REGULAR	START	START	1
1	FALSE	90609.32	03221XXXX01015050	REGULAR	REGULAR	START	START	1	90609.32	03221XXXX01015050	REGULAR	REGULAR	START	START	1
1	FALSE	127706.77	08241XXXX08009080	REGULAR	REGULAR	START	START	1	127706.77	08241XXXX08009080	REGULAR	REGULAR	START	START	1
1	FALSE	11753.68	18200XXXX20022030	REGULAR	REGULAR	START	START	1	11753.68	18200XXXX20022030	REGULAR	REGULAR	START	START	1
1	FALSE	1994240.96	05241XXXX11018010	REGULAR	REGULAR	START	START	1	1994240.96	05241XXXX11018010	REGULAR	REGULAR	START	START	1
1	FALSE	1587909.96	15210XXXX23005060	REGULAR	REGULAR	START	START	1	1587909.96	15210XXXX23005060	REGULAR	REGULAR	START	START	1
1	FALSE	16251.90	00220XXXX04012030	REGULAR	REGULAR	START	START	1	16251.90	00220XXXX04012030	REGULAR	REGULAR	START	START	1
1	FALSE	790550302.28	12221XXXX20008020	REGULAR	REGULAR	START	START	1	790550302.28	12221XXXX20008020	REGULAR	REGULAR	START	START	1
1	FALSE	21375.05	02250XX0207021070	REGULAR	REGULAR	START	START	1	21375.05	02250XX0207021070	REGULAR	REGULAR	START	START	1
1	FALSE	2413243052.85	17231XXXX14015000	REGULAR	REGULAR	START	START	1	2413243052.85	17231XXXX14015000	REGULAR	REGULAR	START	START	1
1	FALSE	1632654338.89	07202XXXX01002050	REGULAR	REGULAR	START	START	1	1632654338.89	07202XXXX01002050	REGULAR	REGULAR	START	START	1
1	FALSE	202078.50	01242XXXX00016020	REGULAR	REGULAR	START	START	1	202078.50	01242XXXX00016020	REGULAR	REGULAR	START	START	1
1	FALSE	153036.27	11200XXXX12004060	REGULAR	REGULAR	START	START	1	153036.27	11200XXXX12004060	REGULAR	REGULAR	START	START	1
1	FALSE	129673.53	06220XXXX06010040	REGULAR	REGULAR	START	START	1	129673.53	06220XXXX06010040	REGULAR	REGULAR	START	START	1
1	FALSE	2528206768.47	1626114XX18022080	REGULAR	REGULAR	START	START	1	2528206768.47	1626114XX18022080	REGULAR	REGULAR	START	START	1
1	FALSE	6373322054.46	0926104XX03019070	REGULAR	REGULAR	START	START	1	6373322054.46	0926104XX03019070	REGULAR	REGULAR	START	START	1
1	FALSE	2291151743.38	19232XXXX15007030	REGULAR	REGULAR	START	START	1	2291151743.38	19232XXXX15007030	REGULAR	REGULAR	START	START	1
1	FALSE	41389.82	14250XX0222013010	REGULAR	REGULAR	START	START	1	41389.82	14250XX0222013010	REGULAR	REGULAR	START	START	1
1	FALSE	1373390.63	04212XXXX09001050	REGULAR	REGULAR	START	START	1	1373390.63	04212XXXX09001050	REGULAR	REGULAR	START	START	1
1	FALSE	8016.28	02200XXXX19023060	ELITE	ELITE	START	START	1	8016.28	02200XXXX19023060	ELITE	ELITE	START	START	1
1	FALSE	682429456.33	12242XXXX07011010	REGULAR	REGULAR	START	START	1	682429456.33	12242XXXX07011010	REGULAR	REGULAR	START	START	1
1	FALSE	1775164974.31	17221XXXX00017040	REGULAR	REGULAR	START	START	1	1775164974.31	17221XXXX00017040	REGULAR	REGULAR	START	START	1
1	FALSE	203100.34	07252XX0213005080	REGULAR	REGULAR	START	START	1	203100.34	07252XX0213005080	REGULAR	REGULAR	START	START	1
1	FALSE	2434084220.35	1926004XX10001070	REGULAR	REGULAR	START	START	1	2434084220.35	1926004XX10001070	REGULAR	REGULAR	START	START	1
1	FALSE	32775285.96	09231XXXX22014020	REGULAR	REGULAR	START	START	1	32775285.96	09231XXXX22014020	REGULAR	REGULAR	START	START	1
1	FALSE	29885756.92	14212XXXX04020050	REGULAR	REGULAR	START	START	1	29885756.92	14212XXXX04020050	REGULAR	REGULAR	START	START	1
1	FALSE	1441368.15	04241XXXX16008000	REGULAR	REGULAR	START	START	1	1441368.15	04241XXXX16008000	REGULAR	REGULAR	START	START	1
1	FALSE	178018.28	03212XXXX14012020	REGULAR	REGULAR	START	START	1	178018.28	03212XXXX14012020	REGULAR	REGULAR	START	START	1
1	FALSE	155882610.87	13250XX0202000060	REGULAR	REGULAR	START	START	1	155882610.87	13250XX0202000060	REGULAR	REGULAR	START	START	1
1	FALSE	642166110.25	18201XXXX08019040	REGULAR	REGULAR	START	START	1	642166110.25	18201XXXX08019040	REGULAR	REGULAR	START	START	1
1	FALSE	9408088594.55	08230XXXX21006000	REGULAR	REGULAR	START	START	1	9408088594.55	08230XXXX21006000	REGULAR	REGULAR	START	START	1
1	FALSE	1857150349.47	0126104XX24003080	REGULAR	REGULAR	START	START	1	1857150349.47	0126104XX24003080	REGULAR	REGULAR	START	START	1
1	FALSE	264562.20	11220XXXX11016030	REGULAR	REGULAR	START	START	1	264562.20	11220XXXX11016030	REGULAR	REGULAR	START	START	1
1	FALSE	1491073196.98	16242XXXX05009010	REGULAR	REGULAR	START	START	1	1491073196.98	16242XXXX05009010	REGULAR	REGULAR	START	START	1
1	FALSE	219487.04	06211XXXX18022050	REGULAR	REGULAR	START	START	1	219487.04	06211XXXX18022050	REGULAR	REGULAR	START	START	1
1	FALSE	50126.54	07201XXXX16016070	REGULAR	REGULAR	START	START	1	50126.54	07201XXXX16016070	REGULAR	REGULAR	START	START	1
1	FALSE	2647457121.71	16240XXXX04003020	REGULAR	REGULAR	START	START	1	2647457121.71	16240XXXX04003020	REGULAR	REGULAR	START	START	1
1	FALSE	3841567110.99	12222XXXX10022000	REGULAR	REGULAR	START	START	1	3841567110.99	12222XXXX10022000	REGULAR	REGULAR	START	START	1
1	FALSE	28559.36	02251XX1023010050	REGULAR	REGULAR	START	START	1	28559.36	02251XX1023010050	REGULAR	REGULAR	START	START	1
1	FALSE	1450537290.52	09252XX0220000040	REGULAR	REGULAR	START	START	1	1450537290.52	09252XX0220000040	REGULAR	REGULAR	START	START	1
1	FALSE	1841603.13	19210XXXX07013080	REGULAR	REGULAR	START	START	1	1841603.13	19210XXXX07013080	REGULAR	REGULAR	START	START	1
1	FALSE	6059343427.37	1426114XX01006060	REGULAR	REGULAR	START	START	1	6059343427.37	1426114XX01006060	REGULAR	REGULAR	START	START	1
1	FALSE	67584742.49	04230XXXX13019010	REGULAR	REGULAR	START	START	1	67584742.49	04230XXXX13019010	REGULAR	REGULAR	START	START	1
1	FALSE	5771153244.43	15222XXXX02024000	REGULAR	REGULAR	START	START	1	5771153244.43	15222XXXX02024000	REGULAR	REGULAR	START	START	1
1	FALSE	5896039441.68	0526004XX15011040	REGULAR	REGULAR	START	START	1	5896039441.68	0526004XX15011040	REGULAR	REGULAR	START	START	1
1	FALSE	126043.61	00212XXXX21017060	REGULAR	REGULAR	START	START	1	126043.61	00212XXXX21017060	REGULAR	REGULAR	START	START	1
1	FALSE	717272203.96	10241XXXX09005020	REGULAR	REGULAR	START	START	1	717272203.96	10241XXXX09005020	REGULAR	REGULAR	START	START	1
1	FALSE	2264179850.70	18252XX0212008050	REGULAR	REGULAR	START	START	1	2264179850.70	18252XX0212008050	REGULAR	REGULAR	START	START	1
1	FALSE	188536.43	08220XXXX24021010	REGULAR	REGULAR	START	START	1	188536.43	08220XXXX24021010	REGULAR	REGULAR	START	START	1
1	FALSE	416256.57	03231XXXX18002030	REGULAR	REGULAR	START	START	1	416256.57	03231XXXX18002030	REGULAR	REGULAR	START	START	1
1	FALSE	30577.76	13200XXXX05014070	REGULAR	REGULAR	START	START	1	30577.76	13200XXXX05014070	REGULAR	REGULAR	START	START	1
1	FALSE	2880974925.12	13231XXXX19003020	REGULAR	REGULAR	START	START	1	2880974925.12	13231XXXX19003020	REGULAR	REGULAR	START	START	1
1	FALSE	234644.33	18242XXXX13021040	REGULAR	REGULAR	START	START	1	234644.33	18242XXXX13021040	REGULAR	REGULAR	START	START	1
1	FALSE	3350227.74	08210XXXX00009080	REGULAR	REGULAR	START	START	1	3350227.74	08210XXXX00009080	REGULAR	REGULAR	START	START	1
1	FALSE	202645.34	01221XXXX03006000	REGULAR	REGULAR	START	START	1	202645.34	01221XXXX03006000	REGULAR	REGULAR	START	START	1
1	FALSE	11262.30	11250XX0216018050	REGULAR	REGULAR	START	START	1	11262.30	11250XX0216018050	REGULAR	REGULAR	START	START	1
1	FALSE	213341.35	06230XXXX09025030	REGULAR	REGULAR	START	START	1	213341.35	06230XXXX09025030	REGULAR	REGULAR	START	START	1
1	FALSE	1800147.20	16202XXXX22012070	REGULAR	REGULAR	START	START	1	1800147.20	16202XXXX22012070	REGULAR	REGULAR	START	START	1
1	FALSE	1073750.11	07252XX0205013050	REGULAR	REGULAR	START	START	1	1073750.11	07252XX0205013050	REGULAR	REGULAR	START	START	1
1	FALSE	3591002377.53	17210XXXX17001010	REGULAR	REGULAR	START	START	1	3591002377.53	17210XXXX17001010	REGULAR	REGULAR	START	START	1
1	FALSE	44129.25	02201XXXX11007080	REGULAR	REGULAR	START	START	1	44129.25	02201XXXX11007080	REGULAR	REGULAR	START	START	1
1	FALSE	231873387.36	12232XXXX23020030	REGULAR	REGULAR	START	START	1	231873387.36	12232XXXX23020030	REGULAR	REGULAR	START	START	1
1	FALSE	2047297442.21	05222XXXX08004000	REGULAR	REGULAR	START	START	1	2047297442.21	05222XXXX08004000	REGULAR	REGULAR	START	START	1
1	FALSE	5725968171.65	1526114XX20017040	REGULAR	REGULAR	START	START	1	5725968171.65	1526114XX20017040	REGULAR	REGULAR	START	START	1
1	FALSE	95244.18	00240XXXX02023020	REGULAR	REGULAR	START	START	1	95244.18	00240XXXX02023020	REGULAR	REGULAR	START	START	1
1	FALSE	259826.97	10201XXXX14010070	REGULAR	REGULAR	START	START	1	259826.97	10201XXXX14010070	REGULAR	REGULAR	START	START	1
1	FALSE	334509479.77	13230XXXX17021080	REGULAR	REGULAR	START	START	1	334509479.77	13230XXXX17021080	REGULAR	REGULAR	START	START	1
1	FALSE	286251.47	03201XXXX05009040	REGULAR	REGULAR	START	START	1	286251.47	03201XXXX05009040	REGULAR	REGULAR	START	START	1
1	FALSE	31560.31	08250XX0211015020	REGULAR	REGULAR	START	START	1	31560.31	08250XX0211015020	REGULAR	REGULAR	START	START	1
1	FALSE	2112584081.39	18222XXXX23002060	REGULAR	REGULAR	START	START	1	2112584081.39	18222XXXX23002060	REGULAR	REGULAR	START	START	1
1	FALSE	60885.05	01242XXXX08024070	REGULAR	REGULAR	START	START	1	60885.05	01242XXXX08024070	REGULAR	REGULAR	START	START	1
1	FALSE	224076591.18	10211XXXX20012030	REGULAR	REGULAR	START	START	1	224076591.18	10211XXXX20012030	REGULAR	REGULAR	START	START	1
1	FALSE	4055018896.47	1526104XX14018000	REGULAR	REGULAR	START	START	1	4055018896.47	1526104XX14018000	REGULAR	REGULAR	START	START	1
1	FALSE	1150053697.12	06230XXXX02006050	REGULAR	REGULAR	START	START	1	1150053697.12	06230XXXX02006050	REGULAR	REGULAR	START	START	1
1	FALSE	64261.71	19240XXXX19020080	REGULAR	REGULAR	START	START	1	64261.71	19240XXXX19020080	REGULAR	REGULAR	START	START	1
1	FALSE	1418416189.85	09202XXXX06007030	REGULAR	REGULAR	START	START	1	1418416189.85	09202XXXX06007030	REGULAR	REGULAR	START	START	1
1	FALSE	5273488453.61	0426004XX00013010	REGULAR	REGULAR	START	START	1	5273488453.61	0426004XX00013010	REGULAR	REGULAR	START	START	1
1	TRUE	12226.32	18240XXXX01024050	ELITE	ELITE	START	STANDARD	1	12226.32	18240XXXX01024050	ELITE	ELITE	START	STANDARD	2
1	TRUE	20034.98	06240XXXX24015060	ELITE	ELITE	START	STANDARD	1	20034.98	06240XXXX24015060	ELITE	ELITE	START	STANDARD	2
1	TRUE	110457.64	19242XXXX02018080	ELITE	ELITE	START	STANDARD	1	110457.64	19242XXXX02018080	ELITE	ELITE	START	STANDARD	2
1	TRUE	8016.28	02200XXXX19023060	ELITE	ELITE	START	STANDARD	1	8016.28	02200XXXX19023060	ELITE	ELITE	START	STANDARD	2
1	TRUE	76729.30	02242XXXX03011080	ELITE	ELITE	START	STANDARD	1	76729.30	02242XXXX03011080	ELITE	ELITE	START	STANDARD	2
