Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	2075883.05	01252XX0711007075	REGULAR	REGULAR	START	START	1	2075883.05	01252XX0711007075	REGULAR	REGULAR	START	START	1
1	FALSE	2899317.01	11211XXXX23519530	REGULAR	REGULAR	START	START	1	2899317.01	11211XXXX23519530	REGULAR	REGULAR	START	START	1
1	FALSE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1
1	FALSE	288526191.13	16232XXXX17501010	REGULAR	REGULAR	START	START	1	288526191.13	16232XXXX17501010	REGULAR	REGULAR	START	START	1
1	FALSE	50354300.98	08741XXXX08004000	REGULAR	REGULAR	START	START	1	50354300.98	08741XXXX08004000	REGULAR	REGULAR	START	START	1
1	FALSE	65582007.61	18702XXXX20516545	REGULAR	REGULAR	START	START	1	65582007.61	18702XXXX20516545	REGULAR	REGULAR	START	START	1
1	FALSE	44806634.01	1376004XX14010565	REGULAR	REGULAR	START	START	1	44806634.01	1376004XX14010565	REGULAR	REGULAR	START	START	1
1	FALSE	2492566.57	03721XXXX01523020	REGULAR	REGULAR	START	START	1	2492566.57	03721XXXX01523020	REGULAR	REGULAR	START	START	1
1	FALSE	16086966.06	17230XXXX12521040	REGULAR	REGULAR	START	START	1	16086966.06	17230XXXX12521040	REGULAR	REGULAR	START	START	1
1	FALSE	59719034.04	12242XXXX18502515	REGULAR	REGULAR	START	START	1	59719034.04	12242XXXX18502515	REGULAR	REGULAR	START	START	1
1	FALSE	1151232.66	02211XXXX06515060	REGULAR	REGULAR	START	START	1	1151232.66	02211XXXX06515060	REGULAR	REGULAR	START	START	1
1	FALSE	5282103.78	14701XXXX15518050	REGULAR	REGULAR	START	START	1	5282103.78	14701XXXX15518050	REGULAR	REGULAR	START	START	1
1	FALSE	338136977.08	04730XXXX03005505	REGULAR	REGULAR	START	START	1	338136977.08	04730XXXX03005505	REGULAR	REGULAR	START	START	1
1	FALSE	40238006.77	09722XXXX09524525	REGULAR	REGULAR	START	START	1	40238006.77	09722XXXX09524525	REGULAR	REGULAR	START	START	1
1	FALSE	924318.76	19750XX0722012070	ELITE	ELITE	START	START	1	924318.76	19750XX0722012070	ELITE	ELITE	START	START	1
1	FALSE	21808978.77	05232XXXX24520510	REGULAR	REGULAR	START	START	1	21808978.77	05232XXXX24520510	REGULAR	REGULAR	START	START	1
1	FALSE	8322498.94	15201XXXX11508055	REGULAR	REGULAR	START	START	1	8322498.94	15201XXXX11508055	REGULAR	REGULAR	START	START	1
1	FALSE	1785692.19	00210XXXX18002035	REGULAR	REGULAR	START	START	1	1785692.19	00210XXXX18002035	REGULAR	REGULAR	START	START	1
1	FALSE	4221102.64	10251XX0705514080	REGULAR	REGULAR	START	START	1	4221102.64	10251XX0705514080	REGULAR	REGULAR	START	START	1
1	FALSE	5643264.41	17740XXXX02523500	REGULAR	REGULAR	START	START	1	5643264.41	17740XXXX02523500	REGULAR	REGULAR	START	START	1
1	FALSE	4159867.52	07712XXXX15011045	REGULAR	REGULAR	START	START	1	4159867.52	07712XXXX15011045	REGULAR	REGULAR	START	START	1
1	FALSE	261416925.72	12722XXXX08505025	REGULAR	REGULAR	START	START	1	261416925.72	12722XXXX08505025	REGULAR	REGULAR	START	START	1
1	FALSE	165149185.72	0276109XX21017570	REGULAR	REGULAR	START	START	1	165149185.72	0276109XX21017570	REGULAR	REGULAR	START	START	1
1	FALSE	7498091.24	11710XXXX01006565	REGULAR	REGULAR	START	START	1	7498091.24	11710XXXX01006565	REGULAR	REGULAR	START	START	1
1	FALSE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1
1	FALSE	22810009.35	06730XXXX19500040	REGULAR	REGULAR	START	START	1	22810009.35	06730XXXX19500040	REGULAR	REGULAR	START	START	1
1	FALSE	25279310.73	14241XXXX10022005	REGULAR	REGULAR	START	START	1	25279310.73	14241XXXX10022005	REGULAR	REGULAR	START	START	1
1	FALSE	956860.36	04202XXXX22509550	REGULAR	REGULAR	START	START	1	956860.36	04202XXXX22509550	REGULAR	REGULAR	START	START	1
1	FALSE	1544058.31	09250XX0716516075	REGULAR	REGULAR	START	START	1	1544058.31	09250XX0716516075	REGULAR	REGULAR	START	START	1
1	FALSE	272656723.82	19221XXXX04003030	REGULAR	REGULAR	START	START	1	272656723.82	19221XXXX04003030	REGULAR	REGULAR	START	START	1
1	FALSE	359564311.26	1126114XX04520055	REGULAR	REGULAR	START	START	1	359564311.26	1126114XX04520055	REGULAR	REGULAR	START	START	1
1	FALSE	5822007.89	01232XXXX17007510	REGULAR	REGULAR	START	START	1	5822007.89	01232XXXX17007510	REGULAR	REGULAR	START	START	1
1	FALSE	3233987.85	06240XXXX23014030	REGULAR	REGULAR	START	START	1	3233987.85	06240XXXX23014030	REGULAR	REGULAR	START	START	1
1	FALSE	6070276.71	16211XXXX10501575	REGULAR	REGULAR	START	START	1	6070276.71	16211XXXX10501575	REGULAR	REGULAR	START	START	1
1	FALSE	3900750.36	08701XXXX13504585	REGULAR	REGULAR	START	START	1	3900750.36	08701XXXX13504585	REGULAR	REGULAR	START	START	1
1	FALSE	4056608.81	18742XXXX01017040	REGULAR	REGULAR	START	START	1	4056608.81	18742XXXX01017040	REGULAR	REGULAR	START	START	1
1	FALSE	3500225.16	03752XX0220023565	REGULAR	REGULAR	START	START	1	3500225.16	03752XX0220023565	REGULAR	REGULAR	START	START	1
1	FALSE	19517317.15	13720XXXX07511020	REGULAR	REGULAR	START	START	1	19517317.15	13720XXXX07511020	REGULAR	REGULAR	START	START	1
1	FALSE	2622101.01	05211XXXX21506005	REGULAR	REGULAR	START	START	1	2622101.01	05211XXXX21506005	REGULAR	REGULAR	START	START	1
1	FALSE	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1
1	FALSE	44549026.04	10202XXXX02500070	REGULAR	REGULAR	START	START	1	44549026.04	10202XXXX02500070	REGULAR	REGULAR	START	START	1
1	FALSE	335385.83	00230XXXX15512525	REGULAR	REGULAR	START	START	1	335385.83	00230XXXX15512525	REGULAR	REGULAR	START	START	1
1	FALSE	2506630.12	02700XXXX24503080	REGULAR	REGULAR	START	START	1	2506630.12	02700XXXX24503080	REGULAR	REGULAR	START	START	1
1	FALSE	5996221.96	12742XXXX12015535	REGULAR	REGULAR	START	START	1	5996221.96	12742XXXX12015535	REGULAR	REGULAR	START	START	1
1	FALSE	208571913.87	17721XXXX06009015	REGULAR	REGULAR	START	START	1	208571913.87	17721XXXX06009015	REGULAR	REGULAR	START	START	1
1	FALSE	1837326.24	03242XXXX05011535	REGULAR	REGULAR	START	START	1	1837326.24	03242XXXX05011535	REGULAR	REGULAR	START	START	1
1	FALSE	2650845.16	13210XXXX17524080	REGULAR	REGULAR	START	START	1	2650845.16	13210XXXX17524080	REGULAR	REGULAR	START	START	1
1	FALSE	213721486.39	1826114XX24005555	REGULAR	REGULAR	START	START	1	213721486.39	1826114XX24005555	REGULAR	REGULAR	START	START	1
1	FALSE	16794812.20	08220XXXX11518010	REGULAR	REGULAR	START	START	1	16794812.20	08220XXXX11518010	REGULAR	REGULAR	START	START	1
1	FALSE	20464378.08	10730XXXX21008520	REGULAR	REGULAR	START	START	1	20464378.08	10730XXXX21008520	REGULAR	REGULAR	START	START	1
1	FALSE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1
1	FALSE	13629586.67	05751XX0202002045	REGULAR	REGULAR	START	START	1	13629586.67	05751XX0202002045	REGULAR	REGULAR	START	START	1
1	FALSE	276031829.91	15722XXXX14514500	REGULAR	REGULAR	START	START	1	276031829.91	15722XXXX14514500	REGULAR	REGULAR	START	START	1
1	FALSE	2322048.26	07212XXXX03519575	REGULAR	REGULAR	START	START	1	2322048.26	07212XXXX03519575	REGULAR	REGULAR	START	START	1
1	FALSE	91609207.61	16751XX0216007025	REGULAR	REGULAR	START	START	1	91609207.61	16751XX0216007025	REGULAR	REGULAR	START	START	1
1	FALSE	95563100.70	11732XXXX22513005	REGULAR	REGULAR	START	START	1	95563100.70	11732XXXX22513005	REGULAR	REGULAR	START	START	1
1	FALSE	446376313.78	0226014XX10000550	REGULAR	REGULAR	START	START	1	446376313.78	0226014XX10000550	REGULAR	REGULAR	START	START	1
1	FALSE	7206038.90	04720XXXX00516015	REGULAR	REGULAR	START	START	1	7206038.90	04720XXXX00516015	REGULAR	REGULAR	START	START	1
1	FALSE	10207858.94	09741XXXX06510040	REGULAR	REGULAR	START	START	1	10207858.94	09741XXXX06510040	REGULAR	REGULAR	START	START	1
1	FALSE	1759809.91	19200XXXX19022585	REGULAR	REGULAR	START	START	1	1759809.91	19200XXXX19022585	REGULAR	REGULAR	START	START	1
1	FALSE	23265376.79	11222XXXX11523050	REGULAR	REGULAR	START	START	1	23265376.79	11222XXXX11523050	REGULAR	REGULAR	START	START	1
1	FALSE	5903048.56	16240XXXX05504570	REGULAR	REGULAR	START	START	1	5903048.56	16240XXXX05504570	REGULAR	REGULAR	START	START	1
1	FALSE	3909078.99	06201XXXX18017025	REGULAR	REGULAR	START	START	1	3909078.99	06201XXXX18017025	REGULAR	REGULAR	START	START	1
1	FALSE	62303744.03	18711XXXX08513535	REGULAR	REGULAR	START	START	1	62303744.03	18711XXXX08513535	REGULAR	REGULAR	START	START	1
1	FALSE	4204112.58	08752XX0221001080	REGULAR	REGULAR	START	START	1	4204112.58	08752XX0221001080	REGULAR	REGULAR	START	START	1
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	STANDARD	1	660883.03	01751XX0713519020	ELITE	ELITE	START	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	STANDARD	1	470986.61	00701XXXX08521065	ELITE	ELITE	START	STANDARD	2
1	TRUE	1102093.81	15250XX0209018550	ELITE	ELITE	START	STANDARD	1	1102093.81	15250XX0209018550	ELITE	ELITE	START	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	STANDARD	1	443740.86	06200XXXX05013555	ELITE	ELITE	START	STANDARD	2
1	TRUE	924318.76	19750XX0722012070	ELITE	ELITE	START	STANDARD	1	924318.76	19750XX0722012070	ELITE	ELITE	START	STANDARD	2
1	TRUE	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1	61792161.29	16221XXXX19522020	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	1135375.65	02221XXXX23520565	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	288855.43	00202XXXX02021545	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	924318.76	19750XX0722012070	ELITE	ELITE	START	START	1	2699337.32	18720XXXX11518070	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	189522015.54	1226014XX07509080	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1	215008590.33	0876004XX10508540	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	1505646.78	03750XX0710011565	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	5249103.04	06201XXXX08507530	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	3995762.29	03701XXXX10011510	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	349182.27	00211XXXX22516060	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	3702587.62	07202XXXX13516055	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	8641315.14	07202XXXX04522520	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	924318.76	19750XX0722012070	ELITE	ELITE	START	START	1	2767501.85	18221XXXX21515085	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	57061676.88	03230XXXX02511075	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	1978248.78	03220XXXX02018025	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	689122.67	04721XXXX07024055	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	1270333.65	00710XXXX05016055	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	5528728.68	07250XX0707014525	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1	1999814.07	11740XXXX09018545	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	401430877.47	0226104XX11024515	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	1014721.85	04232XXXX05518065	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	10627065.83	0676004XX09024570	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	8626934.87	10741XXXX15522010	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	3932935.45	03252XX0711019500	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	1704286.95	02702XXXX07021565	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	107907494.89	12211XXXX06505020	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	892263.83	02741XXXX13520025	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	2902186.42	05250XX0211016080	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	2211932.58	03202XXXX07018560	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	7034695.97	10251XX0224509030	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	8750571.49	12221XXXX19512545	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	9103670.14	07232XXXX00519040	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	6819344.98	11700XXXX01011000	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	3586739.59	04731XXXX11019045	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	1506843.36	06250XX0706008565	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	1614917.30	03251XX0211020530	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1	1059005.18	12242XXXX22520570	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	1045517.68	03742XXXX02014555	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	53712318.02	18231XXXX24018005	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	924318.76	19750XX0722012070	ELITE	ELITE	START	START	1	4628330.29	12710XXXX22515580	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	323049.57	10200XXXX01023050	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1	44023486.66	12711XXXX10522010	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	1102093.81	15250XX0209018550	ELITE	ELITE	START	START	1	2287346.97	05220XXXX06509565	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	7821904.67	10751XX0221024030	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	292586534.55	0276014XX11024560	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	431259890.99	0276119XX08514565	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	834153.34	01722XXXX19510015	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	START	1	6499015.32	05251XX0706520500	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	START	1	226299806.83	05230XXXX03517020	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	START	1	1396735.30	06242XXXX17511565	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	STANDARD	2	349182.27	00211XXXX22516060	ELITE	ELITE	STANDARD	STANDARD	3
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	STANDARD	2	288855.43	00202XXXX02021545	ELITE	ELITE	STANDARD	STANDARD	3
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	STANDARD	2	470986.61	00701XXXX08521065	ELITE	ELITE	START	STANDARD	3
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	STANDARD	2	660883.03	01751XX0713519020	ELITE	ELITE	START	STANDARD	3
1	TRUE	443740.86	06200XXXX05013555	ELITE	ELITE	START	STANDARD	2	323049.57	10200XXXX01023050	ELITE	ELITE	STANDARD	STANDARD	3
1	TRUE	349182.27	00211XXXX22516060	ELITE	ELITE	STANDARD	STANDARD	2	1274550.37	03211XXXX22514535	REGULAR	REGULAR	STANDARD	STANDARD	3
1	TRUE	288855.43	00202XXXX02021545	ELITE	ELITE	STANDARD	STANDARD	2	309770.44	00201XXXX05517540	ELITE	ELITE	STANDARD	STANDARD	3
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	STANDARD	2	1635487.35	02751XX0724019005	REGULAR	REGULAR	STANDARD	STANDARD	3
1	TRUE	349182.27	00211XXXX22516060	ELITE	ELITE	STANDARD	STANDARD	2	1975162.46	03251XX0220021065	REGULAR	REGULAR	STANDARD	STANDARD	3
1	TRUE	660883.03	01751XX0713519020	ELITE	ELITE	START	STANDARD	2	73619851.70	10232XXXX19520015	REGULAR	REGULAR	STANDARD	STANDARD	3
1	TRUE	288855.43	00202XXXX02021545	ELITE	ELITE	STANDARD	STANDARD	2	3813526.14	05212XXXX03021525	REGULAR	REGULAR	STANDARD	STANDARD	3
1	TRUE	470986.61	00701XXXX08521065	ELITE	ELITE	START	STANDARD	2	720749.95	02701XXXX08517085	REGULAR	REGULAR	STANDARD	STANDARD	3
1	TRUE	288855.43	00202XXXX02021545	ELITE	ELITE	STANDARD	STANDARD	2	1482233.08	03701XXXX17020045	REGULAR	REGULAR	STANDARD	STANDARD	3
