"Algorithm","Scenario","Instance","Iter_Min","Iter_Max","Iter_Mean","SoftRestart_Usage","Config_Evaluated"
"ACOTSP","E1-BL-WSR-2000","Data",7,9,8,0,8790
"ACOTSP","E2-BL-SR-2000","Data",7,11,8.65,0,8796
"ACOTSP","E3-BH-WSR-2000","Data",8,11,9,0,17166
"ACOTSP","E4-BH-SR-2000","Data",8,9,8.6,0,17112
"PSO-X","E1-BL-WSR-Mix","Data",5,7,5.65,0,4659
"PSO-X","E2-BL-SR-Mix","Data",5,7,5.65,0,4651
"PSO-X","E3-BH-WSR-Mix","Data",5,8,6.2,0,9402
"PSO-X","E4-BH-SR-Mix","Data",5,8,6.2,0,9402
"PSO-X","E5-BL-WSR-Mul","Data",5,7,5.85,0,4595
"PSO-X","E6-BL-SR-Mul","Data",5,7,5.9,0,4597
"PSO-X","E7-BH-WSR-Mul","Data",5,8,6.55,0,9679
"PSO-X","E8-BH-SR-Mul","Data",5,8,6.5,0,9653
"PSO-X","E9-BL-WSR-Uni","Data",6,9,6.95,0,5130
"PSO-X","E10-BL-SR-Uni","Data",6,9,7,0,5126
"PSO-X","E11-BH-WSR-Uni","Data",6,9,7.4,0,10343
"PSO-X","E12-BH-SR-Uni","Data",6,9,7.45,0,10394
"MMASQAP","E1-BL-WSR-60","Data",3,5,3.95,0,2019
"MMASQAP","E2-BL-SR-60","Data",3,5,3.95,0.154,2018
"MMASQAP","E3-BH-WSR-60","Data",4,5,4.25,0,4230
"MMASQAP","E4-BH-SR-60","Data",4,6,4.65,0.312,4242
